xHAMLET_v1.0_terms	term	sdrf_column	column_type	requirement	ontology_accession	ontology_prefix	ols_search_url	usage_templates	values_source_or_pattern	special_values	description	allow_not_available	allow_not_applicable	allow_pooled	source_support	consensus_action	notes
Y	assay name	assay name	anchor column	REQUIRED	NCIT:C178857	NCIT	https://www.ebi.ac.uk/ols4/search?q=NCIT%3AC178857	base, ms-proteomics, affinity-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, metaproteomics, dia-acquisition	free text	—	Unique identifier for the assay or sample within a study (e.g. MS run name for mass spectrometry, sample ID from platform data file for affinity proteomics)	FALSE	FALSE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	source name	source name	anchor column	REQUIRED	PRIDE:0000623	PRIDE	https://www.ebi.ac.uk/ols4/search?q=PRIDE%3A0000623	base, ms-proteomics, affinity-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, metaproteomics, dia-acquisition	free text	—	Unique identifier for the biological sample	FALSE	FALSE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	technology type	technology type	anchor column	REQUIRED	PRIDE:0000663	PRIDE	https://www.ebi.ac.uk/ols4/search?q=PRIDE%3A0000663	base, ms-proteomics, affinity-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, metaproteomics, dia-acquisition	fixed: proteomic profiling by mass spectrometry, protein expression profiling by antibody array, protein expression profiling by aptamer array	—	Type of technology used	FALSE	FALSE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	age	characteristics[age]	characteristics	RECOMMENDED	EFO:0000246	EFO	https://www.ebi.ac.uk/ols4/search?q=EFO%3A0000246	human	pattern: {Number}{Unit} (Y/M/W/D), anonymized, or pooled	N/A N/Av	Age of the donor at sample collection	TRUE	FALSE	TRUE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	ancestry category	characteristics[ancestry category]	characteristics	RECOMMENDED	HANCESTRO:0004	HANCESTRO	https://www.ebi.ac.uk/ols4/search?q=HANCESTRO%3A0004	human, cell-lines	HANCESTRO	N/A N/Av	Ancestry or ethnic background of the donor	TRUE	TRUE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	biological replicate	characteristics[biological replicate]	characteristics	REQUIRED	MS:1001809	MS	https://www.ebi.ac.uk/ols4/search?q=MS%3A1001809	base, ms-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, dia-acquisition	integer or pooled	—	Identifier for the biological replicate	FALSE	FALSE	TRUE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	cell line	characteristics[cell line]	characteristics	REQUIRED	CLO:0000031	CLO	https://www.ebi.ac.uk/ols4/search?q=CLO%3A0000031	cell-lines	CLO, BTO, EFO	N/A	Name of the cell line	FALSE	FALSE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	cell type	characteristics[cell type]	characteristics	RECOMMENDED	EFO:0000324	EFO	https://www.ebi.ac.uk/ols4/search?q=EFO%3A0000324	base, ms-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, dia-acquisition	CL, BTO, CLO	N/A N/Av	Cell type of the sample	TRUE	TRUE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	compound	characteristics[compound]	characteristics	OPTIONAL	CHEBI:24431	CHEBI	https://www.ebi.ac.uk/ols4/search?q=CHEBI%3A24431	clinical-metadata	CHEBI, NCIT, EFO	—	Chemical compound or drug applied to sample. Use ChEBI ontology for standardization.	TRUE	TRUE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	depletion	characteristics[depletion]	characteristics	OPTIONAL	PRIDE:0000020	PRIDE	https://www.ebi.ac.uk/ols4/search?q=PRIDE%3A0000020	ms-proteomics	fixed: no depletion, depletion, not applicable		Whether abundant protein depletion was performed	TRUE	TRUE	FALSE	Latest SDRF-Terms repo	include	
Y	developmental stage	characteristics[developmental stage]	characteristics	OPTIONAL	EFO:0000399	EFO	https://www.ebi.ac.uk/ols4/search?q=EFO%3A0000399	human, vertebrates, invertebrates, plants, cell-lines	EFO	N/A N/Av	Developmental stage of the organism or donor	TRUE	TRUE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	disease	characteristics[disease]	characteristics	RECOMMENDED	EFO:0000408	EFO	https://www.ebi.ac.uk/ols4/search?q=EFO%3A0000408	sample-metadata, ms-proteomics, human, vertebrates, invertebrates, plants, clinical-metadata, oncology-metadata, cell-lines, single-cell, immunopeptidomics, crosslinking, dia-acquisition	MONDO, EFO, DOID, PATO	N/A N/Av	Disease state of the sample (use 'normal' from PATO for healthy samples)	TRUE	TRUE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	dose	characteristics[dose]	characteristics	OPTIONAL	NCIT:C25488	NCIT	https://www.ebi.ac.uk/ols4/search?q=NCIT%3AC25488	clinical-metadata	number + unit (e.g., 10 mg/kg, 50 uM, 100 nM). Units: mg/kg, uM, nM, mg, ug, mg/mL, ug/mL, mM	—	Dose or concentration of compound treatment. Quantitative values preferred.	TRUE	TRUE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	* Called Concentration of Compound in Legacy
Y	enrichment process	characteristics[enrichment process]	characteristics	REQUIRED	EFO:0009090	EFO	https://www.ebi.ac.uk/ols4/search?q=EFO%3A0009090	sample-metadata, crosslinking	PRIDE, EFO (children of EFO:0009090)	N/A	Enrichment strategy applied to the sample (phosphopeptide, crosslinked peptide, glycopeptide enrichment, etc.)	TRUE	TRUE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	* Called Enrichment Method in Legacy
Y	genetic modification	characteristics[genetic modification]	characteristics	OPTIONAL	EFO:0000510	EFO	https://www.ebi.ac.uk/ols4/search?q=EFO%3A0000510	clinical-metadata	EFO		Method of genetic modification (knockout, knockdown, overexpression, transduction). Describes HOW modification was done.	TRUE	TRUE	FALSE	Latest SDRF-Terms repo	include	
Y	genotype	characteristics[genotype]	characteristics	OPTIONAL	EFO:0000513	EFO	https://www.ebi.ac.uk/ols4/search?q=EFO%3A0000513	single-cell, invertebrates, clinical-metadata	free text	N/A N/Av	Known genetic variant, mutation, or genotype of the subject	TRUE	TRUE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	material type	characteristics[material type]	characteristics	OPTIONAL	PRIDE:0000837	PRIDE	https://www.ebi.ac.uk/ols4/search?q=PRIDE%3A0000837	base, ms-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, dia-acquisition, clinical-metadata	fixed: tissue, cell, cell line, organism part, whole organism, synthetic		Type of biological material being analyzed (derived from MAGE-TAB specification)	TRUE	TRUE	FALSE	Latest SDRF-Terms repo	include	
Y	organism	characteristics[organism]	characteristics	REQUIRED	COB:0000022	COB	https://www.ebi.ac.uk/ols4/search?q=COB%3A0000022	base, ms-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, dia-acquisition	NCBITaxon	N/A	Species of the sample	FALSE	TRUE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	organism part	characteristics[organism part]	characteristics	RECOMMENDED	EFO:0000635	EFO	https://www.ebi.ac.uk/ols4/search?q=EFO%3A0000635	base, ms-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, dia-acquisition	UBERON, BTO	N/A N/Av	Main normalized anatomical term for the sample; use the clearest ontology-backed anatomy term available for integration across datasets	TRUE	TRUE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	perturbation	characteristics[perturbation]	characteristics	OPTIONAL	PRIDE:0000700	PRIDE	https://www.ebi.ac.uk/ols4/search?q=PRIDE%3A0000700	human-gut, soil	free text		Type of perturbation applied	TRUE	TRUE	FALSE	Latest SDRF-Terms repo	include	
Y	phenotype	characteristics[phenotype]	characteristics	OPTIONAL	EFO:0000651	EFO	https://www.ebi.ac.uk/ols4/search?q=EFO%3A0000651	clinical-metadata	PATO, EFO, free text		Observable characteristics or traits (drug sensitivity, molecular markers, expression phenotypes, environmental responses). Captures how sample behaves/appears.	TRUE	TRUE	FALSE	Latest SDRF-Terms repo	include	
Y	phosphate	characteristics[phosphate]	characteristics	OPTIONAL	PRIDE:0000805	PRIDE	https://www.ebi.ac.uk/ols4/search?q=PRIDE%3A0000805	water	pattern: number + mg/L/umol/L		Phosphate concentration	TRUE	TRUE	FALSE	Latest SDRF-Terms repo	include	
Y	pooled sample	characteristics[pooled sample]	characteristics	OPTIONAL	NCIT:C165587	NCIT	https://www.ebi.ac.uk/ols4/search?q=NCIT%3AC165587	sample-metadata	fixed: not pooled, pooled; or pattern: SN=sample1;SN=sample2		Whether the sample is a pooled sample combining material from multiple biological sources	TRUE	TRUE	FALSE	Latest SDRF-Terms repo	include	
Y	sex	characteristics[sex]	characteristics	RECOMMENDED	PATO:0000047	PATO	https://www.ebi.ac.uk/ols4/search?q=PATO%3A0000047	human, vertebrates	fixed: male, female, intersex, hermaphrodite, anonymized, not available, not applicable, pooled	N/A N/Av	Biological sex of the donor	TRUE	TRUE	TRUE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	strain or breed	characteristics[strain or breed]	characteristics	OPTIONAL	GENO:0000112	GENO	https://www.ebi.ac.uk/ols4/search?q=GENO%3A0000112	vertebrates, invertebrates, plants	free text	N/A N/Av	Strain, breed, cultivar, or ecotype of the organism	TRUE	TRUE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	temperature	characteristics[temperature]	characteristics	OPTIONAL	PRIDE:0000703	PRIDE	https://www.ebi.ac.uk/ols4/search?q=PRIDE%3A0000703	metaproteomics, human-gut, soil, water	pattern: number + °C	N/A N/Av	Temperature at sampling location	TRUE	TRUE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	treatment	characteristics[treatment]	characteristics	OPTIONAL	EFO:0000727	EFO	https://www.ebi.ac.uk/ols4/search?q=EFO%3A0000727	sample-metadata, plants	NCIT, EFO		Treatment or perturbation applied to the sample (drug, stimulus, environmental stress)	TRUE	TRUE	FALSE	Latest SDRF-Terms repo	include	
Y	alkylation reagent	comment[alkylation reagent]	comment	OPTIONAL	PRIDE:0000598	PRIDE	https://www.ebi.ac.uk/ols4/search?q=PRIDE%3A0000598	ms-proteomics	PRIDE, MS		Chemical reagent used for cysteine alkylation	TRUE	TRUE	FALSE	Latest SDRF-Terms repo	include	
Y	cleavage agent details	comment[cleavage agent details]	comment	REQUIRED	MS:1001044	MS	https://www.ebi.ac.uk/ols4/search?q=MS%3A1001044	base, ms-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, metaproteomics, dia-acquisition	MS (PSI-MS)	N/A	Enzyme or chemical used for protein digestion	FALSE	TRUE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	collision energy	comment[collision energy]	comment	RECOMMENDED	MS:1000045	MS	https://www.ebi.ac.uk/ols4/search?q=MS%3A1000045	ms-proteomics, crosslinking, dia-acquisition	pattern: {value} {unit} where value is number with optional %, unit is NCE or eV. Stepped: {value} {unit};{value} {unit}	N/A N/Av	Collision energy used for fragmentation. Examples: 30 NCE, 30% NCE, 27 eV, 25 NCE;27 NCE;30 NCE	TRUE	TRUE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	data file	comment[data file]	comment	REQUIRED	MS:1003083	MS	https://www.ebi.ac.uk/ols4/search?q=MS%3A1003083	base, ms-proteomics, human, cell-lines, single-cell, immunopeptidomics, crosslinking, metaproteomics, dia-acquisition	file name	—	Name of the primary/canonical raw data file (e.g. .raw, .wiff, .d). For vendor formats that ship multiple files (e.g. AB Sciex .wiff + .wiff.scan), use comment[associated data file] for the secondary files.	FALSE	FALSE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	dia method	comment[dia method]	comment	RECOMMENDED	PRIDE:0000450	PRIDE	https://www.ebi.ac.uk/ols4/search?q=PRIDE%3A0000450	dia-acquisition	PRIDE	N/A N/Av	Specific DIA method variant used	TRUE	TRUE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	
Y	dissociation method	comment[dissociation method]	comment	RECOMMENDED	MS:1000044	MS	https://www.ebi.ac.uk/ols4/search?q=MS%3A1000044	ms-proteomics, crosslinking, dia-acquisition	MS, PRIDE (children of MS:1000044)	N/A N/Av	Fragmentation method used	TRUE	TRUE	FALSE	Latest SDRF-Terms repo; Latest SDRF-Terms site	include	* Called Fragmentation Method in Legacy
