accession,pubmed_id,pmc_id,raw_file_count,organism,taxids,experiment_types,pub_license,Reannotated,Reannotation_QC,spectral_file_types
PXD013338,31213602.0,PMC6581911,208,Drosophila melanogaster (fruit fly); Homo sapiens (human),7227; 9606,Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics,CC BY,False,False,RAW
PXD014673,,,149,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD014675,31746214.0,PMC7010328,110,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,NO-CC CODE,False,False,MGF;RAW
PXD007513,30021884.0,,137,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD013209,31266943.0,PMC6606597,48,Mus musculus (mouse),10090,Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD006131,28402676.0,PMC5436099,84,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,NO-CC CODE,False,False,RAW
PXD003913,27559607.0,,36,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD003909,27559607.0,,30,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD003754,27114452.0,PMC4937518,396,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False,RAW
PXD015751,31747606.0,PMC6910234,245,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY-NC-ND,False,False,MZXML;RAW
PXD002378,26235782.0,PMC4532879,83,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD008550,,,114,Equus caballus (horse); Saccharomyces cerevisiae (baker's yeast); Gallus gallus (chicken); Homo sapiens (human); Chaetomium thermophilum; Bos taurus (bovine),9796; 4932; 9031; 9606; 209285; 9913,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,7Z;RAW;ZIP
PXD010892,30217814.0,,29,Saccharomyces cerevisiae (baker's yeast),4932,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD011121,30293428.0,PMC6279313,35,Chaetomium thermophilum (strain dsm 1495 / cbs 144.50 / imi 039719); Homo sapiens (human),759272; 9606,Chemical cross-linking coupled with mass spectrometry proteomics,NO-CC CODE,False,False,RAW;ZIP
PXD002987,26560067.0,,31,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics; Affinity purification coupled with mass spectrometry proteomics,,False,False,RAW
PXD003496,29046292.0,,124,Rattus norvegicus (rat),10116,Shotgun proteomics,,False,False,MZXML;RAW
PXD003593,27556644.0,PMC4996428,51,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False,RAW
PXD004236,27834373.0,PMC5114622,117,Acinetobacter baumannii ab5075,1116234,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD005349,28387473.0,,36,Homo sapiens (human),9606,Shotgun proteomics; Chemical cross-linking coupled with mass spectrometry proteomics; Affinity purification coupled with mass spectrometry proteomics,,False,False,RAW
PXD005948,28249160.0,PMC5424545,14,Saccharomyces cerevisiae (baker's yeast),4932,Chemical cross-linking coupled with mass spectrometry proteomics,author_manuscript,False,False,RAW
PXD008418,30575379.0,PMC6407916,37,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,NO-CC CODE,False,False,RAW
PXD006816,29222160.0,PMC5795388,87,Mus musculus (mouse),10090,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD006707,29073188.0,PMC5658093,37,Saccharomyces cerevisiae (baker's yeast),4932,Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics,CC BY,False,False,MGF;RAW
PXD008975,29676898.0,PMC5959040,16,Escherichia coli,562,Chemical cross-linking coupled with mass spectrometry proteomics,author_manuscript,False,False,MS2;MZXML;RAW
PXD009224,30415967.0,,66,Escherichia coli; Homo sapiens (human); Staphylococcus aureus,562; 9606; 1280,Chemical cross-linking coupled with mass spectrometry proteomics; Affinity purification coupled with mass spectrometry proteomics,,False,False,RAW
PXD011036,30651306.0,PMC6442367,124,Equus caballus (horse); Gallus gallus (chicken); Homo sapiens (human); Oryctolagus cuniculus (rabbit); Bos taurus (bovine),9796; 9031; 9606; 9986; 9913,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY,False,False,APL;MGF;RAW
PXD011931,31572778.0,PMC6764163,46,Rattus norvegicus (rat); Homo sapiens (human); Bos taurus (bovine),10116; 9606; 9913,Chemical cross-linking coupled with mass spectrometry proteomics,NO-CC CODE,False,False,RAW
PXD011806,30609396.0,PMC6486830,75,Mus musculus (mouse),10090,Chemical cross-linking coupled with mass spectrometry proteomics; Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD011995,31377116.0,,28,Homo sapiens (human); Caenorhabditis elegans,9606; 6239,Chemical cross-linking coupled with mass spectrometry proteomics; Gel-based experiment,,False,False,MGF;RAW
PXD012109,31363125.0,PMC6667459,15,Escherichia coli,562,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD012546,31283178.0,,67,Drosophila melanogaster (fruit fly),7227,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,MZML;RAW
PXD011459,,,48,Homo sapiens (human); Schizosaccharomyces pombe,9606; 4896,Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics,,False,False,APL;MGF;RAW
PXD013720,31527589.0,PMC6746756,34,Caenorhabditis elegans,6239,Shotgun proteomics,CC BY,False,False,RAW
PXD014759,32011863.0,,240,Saccharomyces cerevisiae (baker's yeast),4932,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD015161,31535972.0,PMC6791687,27,Arabidopsis thaliana (mouse-ear cress),3702,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD014957,31803741.0,PMC6873792,67,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD014584,31851481.0,,46,Saccharomyces cerevisiae (baker's yeast),4932,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD015160,32128395.0,PMC7030922,129,Mus musculus (mouse),10090,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD010317,32128395.0,PMC7030922,114,Mus musculus (mouse),10090,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD014055,,,113,Saccharomyces cerevisiae (baker's yeast),4932,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
