accession	pubmed_id	pmc_id	raw_file_count	organism	taxids	experiment_types	pub_license	Reannotated	Reannotation_QC	spectral_file_types
PXD013339	31492860.0	PMC6731319	8	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	MGF;RAW
PXD013338	31213602.0	PMC6581911	208	Drosophila melanogaster (fruit fly); Homo sapiens (human)	7227; 9606	Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics	CC BY	False	False	RAW
PXD014673			149	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	RAW
PXD014675	31746214.0	PMC7010328	110	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics	NO-CC CODE	False	False	MGF;RAW
PXD015974	31699901.0		106	Escherichia coli	562	Shotgun proteomics; Chemical cross-linking coupled with mass spectrometry proteomics; Gel-based experiment; Affinity purification coupled with mass spectrometry proteomics		False	False	RAW
PXD002656	26450613.0		11	Saccharomyces cerevisiae (baker's yeast); Homo sapiens (human)	4932; 9606	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	MZML;RAW
PXD015989	31690623.0		40	Bos taurus (bovine)	9913	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	RAW
PXD015985	31699901.0		25	Escherichia coli	562	Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics		False	False	RAW
PXD007513	30021884.0		137	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	RAW
PXD006200	28561026.0	PMC5460035	1	Homo sapiens (human)	9606	Affinity purification coupled with mass spectrometry proteomics	CC BY	False	False	RAW
PXD006287	28516784.0	PMC5504490	0	Bacillus subtilis subsp. subtilis str. 168	224308	Chemical cross-linking coupled with mass spectrometry proteomics	NO-CC CODE	False	False	MGF;SCAN;WIFF;ZIP
PXD006245	30793903.0		0	Drosophila melanogaster (fruit fly)	7227	Shotgun proteomics		False	False	SCAN;WIFF
PXD006246	28351835.0	PMC5450317	3	Drosophila melanogaster (fruit fly)	7227	Chemical cross-linking coupled with mass spectrometry proteomics	CC BY	False	False	RAW;ZIP
PXD014738	31488907.0	PMC6733591	5	Chaetomium thermophilum	209285	Chemical cross-linking coupled with mass spectrometry proteomics	NO-CC CODE	False	False	RAW
PXD015890	31405957.0	PMC6803327	157	Chlamydia trachomatis; Homo sapiens (human)	813; 9606	Affinity purification coupled with mass spectrometry proteomics	CC BY	False	False	GZ;MGF;RAW
PXD013215			9	Saccharomyces cerevisiae (baker's yeast)	4932	Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics		False	False	RAW
PXD015883	31405957.0	PMC6803327	157	Chlamydia trachomatis; Chlamydia trachomatis serovar l2 (strain 434/bu / atcc vr-902b)	813; 471472	Affinity purification coupled with mass spectrometry proteomics	CC BY	False	False	GZ;MGF;RAW
PXD013209	31266943.0	PMC6606597	48	Mus musculus (mouse)	10090	Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics	CC BY	False	False	RAW
PXD003880	27642655.0		2	Homo sapiens (human)	9606	Chemical cross-linking coupled with mass spectrometry proteomics		False	False	MGF;RAW
