pxd	has_sdrf	raw_count	proteome_context	material_type_match	has_crosslinker	model_organism	scale_ok	taxids	passes
PXD000244	True	0	False	False	False	False	False	4688	False
PXD000513	True	0	False	False	False	True	False	4932;9606	False
PXD000545	True	60	False	False	False	False	True	1148	False
PXD000685	True	58	True	False	False	True	True	9606	False
PXD001080	True	4	True	False	False	False	False	5759	False
PXD001454	True	4	True	False	True	True	False	9606;10116	False
PXD001538	True	34	False	False	True	True	True	3702;10090	False
PXD001609	True	17	False	False	True	True	True	9606	False
PXD001675	True	6	False	False	True	True	False	9606	False
PXD001677	True	1	False	False	True	True	False	9606;10116	False
PXD001692	True	204	False	False	True	True	True	9606	False
PXD001835	True	15	True	False	True	False	True	9031	False
PXD002058	True	26	True	False	False	True	True	9606	False
PXD002142	True	9	False	False	True	True	False	9606;10116	False
PXD002159	True	0	True	False	False	True	False	9606	False
PXD002169	True	15	False	False	True	True	True	10116	False
PXD002226	True	20	True	False	False	True	True	6239	False
PXD002293	True	6	True	False	False	True	False	4932	False
PXD002378	True	83	True	False	True	True	True	9606;10116	True
PXD002392	True	0	False	False	False	True	False	4932;9606	False
PXD002656	True	11	False	False	True	True	True	4932;9606	False
PXD002890	True	24	False	False	False	True	True	10090;10116	False
PXD002929	True	276	True	False	True	True	True	9606;10116	True
PXD002987	True	31	True	False	True	True	True	9606	True
PXD002992	True	48	False	False	False	True	True	7227;10116	False
PXD003381	True	48	False	False	True	False	True	562	False
PXD003486	True	8	False	False	True	True	False	9606;10116	False
PXD003496	True	124	True	False	True	True	True	10116	True
PXD003502	True	4	False	False	True	True	False	9606	False
PXD003593	True	51	True	False	True	True	True	9606	True
PXD003643	True	146	False	False	True	True	True	1280;9606;10116;33038;47678	False
PXD003658	True	30	False	False	True	True	True	3702	False
PXD003737	True	15	False	False	True	True	True	9606	False
PXD003754	True	396	True	False	True	True	True	9606;10116	True
PXD003880	True	2	False	False	True	True	False	9606;10116	False
PXD003909	True	30	True	False	True	True	True	9606;10116	True
PXD003913	True	36	True	False	True	True	True	9606;10116	True
PXD003917	True	15	True	False	False	True	True	9606	False
PXD004009	True	142	True	False	False	True	True	9606;10116	False
PXD004018	True	4	True	False	False	False	False	5861	False
PXD004105	True	0	True	False	False	True	False	9606	False
PXD004107	True	9	False	False	True	True	False	9606;10116	False
PXD004236	True	117	True	False	True	True	True	10116;1116234	True
PXD004692	True	80	False	False	True	True	True	4932	False
PXD004736	True	43	False	False	False	True	True	9606;10116	False
PXD004749	True	4	False	False	True	True	False	4932	False
PXD004898	True	9	False	False	True	True	False	10090;10116	False
PXD004920	True	96	False	False	True	True	True	9606	False
PXD005012	True	0	True	False	False	True	False	7227	False
PXD005201	True	12	False	False	False	True	True	10090;10116	False
PXD005287	True	18	False	False	True	True	True	9606	False
PXD005349	True	36	True	False	True	True	True	9606	True
PXD005566	True	18	True	False	False	True	True	9606	False
PXD005601	True	0	True	False	False	False	False	5661	False
PXD005612	True	265	True	False	False	True	True	4932	False
PXD005657	True	5	False	False	True	True	False	9606;10116	False
PXD005758	True	46	False	False	False	True	True	9606	False
PXD005943	True	12	True	False	False	True	True	4932	False
PXD005948	True	14	True	False	True	True	True	4932;10116	True
PXD006079	True	8	True	False	True	True	False	7227;10116	False
PXD006131	True	84	True	False	True	True	True	9606	True
PXD006156	True	2	True	False	False	True	False	9606	False
PXD006200	True	1	True	False	False	True	False	9606	False
PXD006245	True	0	True	False	False	True	False	7227	False
PXD006246	True	3	True	False	True	True	False	7227;10116	False
PXD006287	True	0	True	False	False	False	False	224308	False
PXD006359	True	10	False	False	False	True	False	9606;10090	False
PXD006541	True	5	True	False	False	True	False	9606	False
PXD006707	True	37	True	False	True	True	True	4932;10116	True
PXD006715	True	20	False	False	False	True	True	9606	False
PXD006816	True	87	True	False	True	True	True	10090;10116	True
PXD006928	True	1	False	False	True	True	False	9606;10116	False
PXD006938	True	1	False	False	True	True	False	9606;10116	False
PXD007043	True	0	False	False	False	False	False	209285	False
PXD007185	True	12	False	False	True	True	True	9606	False
PXD007250	True	20	False	False	True	True	True	9606	False
PXD007513	True	137	True	False	True	True	True	9606	True
PXD007673	True	65	False	False	True	True	True	10090;10116	False
PXD007695	True	18	True	False	False	True	True	9606	False
PXD007836	True	8	False	False	True	False	False	4100;439488	False
PXD007862	True	27	False	False	False	True	True	9606;10090;10116	False
PXD007928	True	26	False	False	True	True	True	9606;10116	False
PXD008122	True	0	False	False	False	True	False	9606	False
PXD008161	True	54	False	False	True	True	True	3702	False
PXD008164	True	4	True	False	False	False	False	36329	False
PXD008337	True	26	False	False	True	True	True	9606;10116	False
PXD008348	True	8	False	False	True	True	False	562;4932	False
PXD008418	True	37	True	False	True	True	True	9606	True
PXD008550	True	114	True	False	True	True	True	4932;9031;9606;9796;9913;209285	True
PXD008577	True	8	False	False	False	False	False	208964	False
PXD008605	True	52	False	False	False	True	True	9606	False
PXD008680	True	9	False	False	True	True	False	9606	False
