pxd	pid	log_file	status_file	command
PXD000244	3120765	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD000244.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD000244.exit	python src/main.py --pxd PXD000244 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD000513	3120780	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD000513.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD000513.exit	python src/main.py --pxd PXD000513 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD000545	3120790	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD000545.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD000545.exit	python src/main.py --pxd PXD000545 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD000685	3120803	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD000685.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD000685.exit	python src/main.py --pxd PXD000685 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD001080	3120816	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD001080.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD001080.exit	python src/main.py --pxd PXD001080 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD001454	3120829	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD001454.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD001454.exit	python src/main.py --pxd PXD001454 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD001538	3120838	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD001538.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD001538.exit	python src/main.py --pxd PXD001538 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD001609	3120852	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD001609.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD001609.exit	python src/main.py --pxd PXD001609 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD001675	3120865	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD001675.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD001675.exit	python src/main.py --pxd PXD001675 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD001677	3120875	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD001677.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD001677.exit	python src/main.py --pxd PXD001677 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD001692	3120888	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD001692.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD001692.exit	python src/main.py --pxd PXD001692 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD001835	3120898	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD001835.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD001835.exit	python src/main.py --pxd PXD001835 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD002058	3120908	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD002058.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD002058.exit	python src/main.py --pxd PXD002058 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD002142	3120918	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD002142.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD002142.exit	python src/main.py --pxd PXD002142 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD002159	3120928	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD002159.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD002159.exit	python src/main.py --pxd PXD002159 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD002169	3120938	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD002169.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD002169.exit	python src/main.py --pxd PXD002169 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD002226	3120948	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD002226.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD002226.exit	python src/main.py --pxd PXD002226 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD002293	3120958	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD002293.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD002293.exit	python src/main.py --pxd PXD002293 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD002378	3120968	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD002378.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD002378.exit	python src/main.py --pxd PXD002378 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD002392	3120978	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD002392.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD002392.exit	python src/main.py --pxd PXD002392 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD002656	3122059	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD002656.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD002656.exit	python src/main.py --pxd PXD002656 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD002890	3122071	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD002890.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD002890.exit	python src/main.py --pxd PXD002890 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD002929	3122159	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD002929.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD002929.exit	python src/main.py --pxd PXD002929 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD002987	3122169	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD002987.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD002987.exit	python src/main.py --pxd PXD002987 --config configs/config.yaml --no-download --nproc 1 --verbose
