accession,pubmed_id,pmc_id,raw_file_count,organism,taxids,experiment_types,pub_license,Reannotated,Reannotation_QC,spectral_file_types
PXD014174,32141148.0,,15,Coprococcus sp. art55/1,751585,Shotgun proteomics,,False,False,GZ;RAW
PXD004588,28112162.0,PMC5256095,0,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False,ZIP
PXD000033,25561503.0,PMC4349977,225,Arabidopsis thaliana (mouse-ear cress),3702,Bottom-up proteomics,NO-CC CODE,False,False,RAW
PXD001357,25429530.0,PMC4245811,41,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False,GZ;MGF;RAW
PXD001364,25957690.0,PMC4643853,440,Caenorhabditis elegans,6239,Shotgun proteomics,author_manuscript,False,False,RAW
PXD000035,23970489.0,,0,Listeria monocytogenes,1639,Bottom-up proteomics,,False,False,GZ;ZIP
PXD000030,23754495.0,,0,Homo sapiens (human),9606,Bottom-up proteomics,,False,False,GZ;YEP
PRD000828,,,0,Homo sapiens (human),9606,Bottom-up proteomics,,False,False,GZ
PXD001370,25546256.0,PMC4465935,0,Mus musculus (mouse),10090,Shotgun proteomics,author_manuscript,False,False,SCAN;WIFF
PRD000821,,,0,Mycobacterium smegmatis,1772,Bottom-up proteomics,,False,False,GZ
PXD000031,23103765.0,,13,Schizosaccharomyces pombe,4896,Bottom-up proteomics,,False,False,RAW
PXD000027,23172588.0,,0,Zea mays (maize),4577,Bottom-up proteomics,,False,False,GZ;ZIP
PXD000045,23823726.0,PMC4087036,0,Mycobacterium tuberculosis,1773,Bottom-up proteomics,author_manuscript,False,False,GZ;ZIP
PXD012008,30635574.0,PMC6329795,21,Trypanosoma brucei,5691,Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False,RAW;ZIP
PXD001377,25751058.0,,288,Homo sapiens (human); Mus musculus (mouse),9606; 10090,Shotgun proteomics,,False,False,RAW
PXD002691,26739245.0,PMC4703981,1,Entamoeba histolytica hm-1:imss-a,885318,Shotgun proteomics,CC BY,False,False,RAW
PXD013354,,,2,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,,False,False,RAW
PXD012023,31213559.0,PMC6581861,2,Escherichia coli,562,Shotgun proteomics,CC BY,False,False,RAW
PXD001361,25429530.0,PMC4245811,33,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False,MGF;RAW
PRD000820,20516557.0,,0,,,Bottom-up proteomics,,False,False,
PRD000826,,,0,Staphylococcus sp. 1,291146,Bottom-up proteomics,,False,False,GZ
PRD000822,20387871.0,,0,Drosophila melanogaster (fruit fly),7227,Bottom-up proteomics,,False,False,GZ
PXD002693,27477394.0,,9,Schizosaccharomyces pombe,4896,Shotgun proteomics,,False,False,MGF;MZML;RAW
PXD000036,23300121.0,PMC4352544,27,Homo sapiens (human),9606,Bottom-up proteomics,author_manuscript,False,False,MS2;RAW
