source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD003754_PT2003S1F18	Homo sapiens	whole cell lysate	osteosarcoma cell line	1	PXD003754_PT2003S1F18_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT2003S1F18.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3701S1F37	Homo sapiens	whole cell lysate	osteosarcoma cell line	2	PXD003754_PT3701S1F37_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3701S1F37.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3442S1F43	Homo sapiens	whole cell lysate	osteosarcoma cell line	3	PXD003754_PT3442S1F43_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3442S1F43.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT2003S1F40	Homo sapiens	whole cell lysate	osteosarcoma cell line	4	PXD003754_PT2003S1F40_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT2003S1F40.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PTSS3802SN14040	Homo sapiens	whole cell lysate	osteosarcoma cell line	5	PXD003754_PTSS3802SN14040_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PTSS3802SN14040.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3442S1F10	Homo sapiens	whole cell lysate	osteosarcoma cell line	6	PXD003754_PT3442S1F10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3442S1F10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT1781S1F32	Homo sapiens	whole cell lysate	osteosarcoma cell line	7	PXD003754_PT1781S1F32_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT1781S1F32.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT1541S1F33	Homo sapiens	whole cell lysate	osteosarcoma cell line	8	PXD003754_PT1541S1F33_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT1541S1F33.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3441S1F28	Homo sapiens	whole cell lysate	osteosarcoma cell line	9	PXD003754_PT3441S1F28_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3441S1F28.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003754_PT3701S1F13	Homo sapiens	whole cell lysate	osteosarcoma cell line	10	PXD003754_PT3701S1F13_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=null;TA=N;MT=Variable	NT=Deamidation;AC=null;TA=Q;MT=Variable	NT=Pyro-glutamate;AC=null;TA=Q;MT=Variable	NT=Phosphorylation;AC=null;TA=S;MT=Variable	NT=Phosphorylation;AC=null;TA=T;MT=Variable	NT=Phosphorylation;AC=null;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=null;TA=;MT=Variable	not available	not available	NT=[{'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	size exclusion chromatography (SEC)	6%	not available	30 min	room temperature	PT3701S1F13.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
