source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD008914_120209_SBF_KS_A15_09_30	Mus musculus	whole cell lysate	embryonic stem cells	1	PXD008914_120209_SBF_KS_A15_09_30_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	120209_SBF_KS_A15_09_30.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_120301_SBF_KS_A15_06_10	Mus musculus	whole cell lysate	embryonic stem cells	2	PXD008914_120301_SBF_KS_A15_06_10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	120301_SBF_KS_A15_06_10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111201_KS_A8_5_5_5	Mus musculus	whole cell lysate	embryonic stem cells	3	PXD008914_111201_KS_A8_5_5_5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111201_KS_A8_5_5_5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_7_8_10	Mus musculus	whole cell lysate	embryonic stem cells	4	PXD008914_111229_KS_A8_7_8_10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_7_8_10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_120301_SBF_KS_A15_11_10	Mus musculus	whole cell lysate	embryonic stem cells	5	PXD008914_120301_SBF_KS_A15_11_10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	120301_SBF_KS_A15_11_10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_5_8_4	Mus musculus	whole cell lysate	embryonic stem cells	6	PXD008914_111229_KS_A8_5_8_4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_5_8_4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_120301_SBF_KS_A15_10_15	Mus musculus	whole cell lysate	embryonic stem cells	7	PXD008914_120301_SBF_KS_A15_10_15_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	120301_SBF_KS_A15_10_15.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_7_5_2	Mus musculus	whole cell lysate	embryonic stem cells	8	PXD008914_111229_KS_A8_7_5_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_7_5_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_7_8_11	Mus musculus	whole cell lysate	embryonic stem cells	9	PXD008914_111229_KS_A8_7_8_11_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_7_8_11.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD008914_111229_KS_A8_5_8_5	Mus musculus	whole cell lysate	embryonic stem cells	10	PXD008914_111229_KS_A8_5_8_5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	oligo(dT) beads (capture of poly(A)+ RNAs)	not available	not available	not available	not available	111229_KS_A8_5_8_5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
