source name	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD010884_Rappsilber_x0957_2	NT=Escherichia coli;AC=NCBITaxon:562	NT=Klebsiella pneumoniae 342;AC=NCBITaxon:507522	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Enterococcus faecalis (streptococcus faecalis);AC=NCBITaxon:1351	not available	not available	1	PXD010884_Rappsilber_x0957_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA-loop (SDA crosslink within a peptide that is also crosslinked to a separate peptide);AC=null;TA=null;MT=Variable	not available	not available	NT=[{'NT': 'DSS', 'AC': 'XLMOD:02001', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'disuccinimidyl suberate (DSS), which predominantly crosslinks primary amines on Lys residues and the N-terminus of proteins', 'evidence_location': 'Results'}, {'NT': 'sulfo-SDA', 'AC': 'XLMOD:02136', 'CL': 'null', 'TA': 'K,S,T,Y', 'confidence': 'high', 'evidence_quote': 'Crosslinking was carried out according to previously described procedures . Briefly, target proteins were crosslinked separately using sulfosuccinimidyl 4,4’-azipentanoate (sulfo-SDA)', 'evidence_location': 'Methods'}, {'NT': 'PDH', 'AC': None, 'CL': 'null', 'TA': 'D,E', 'confidence': 'medium', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM, resulting in crosslinks between residues with carboxyl groups (Asp, Glu, and the C-terminus)', 'evidence_location': 'Results'}, {'NT': 'DMTMM', 'AC': None, 'CL': 'null', 'TA': 'D,E,nterm', 'confidence': 'low', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM', 'evidence_location': 'Results'}]	not available	not available	0.13:1	30 minutes	25 °C	Rappsilber_x0957_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD010884_Rappsilber_x0957_5	NT=Escherichia coli;AC=NCBITaxon:562	NT=Klebsiella pneumoniae 342;AC=NCBITaxon:507522	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Enterococcus faecalis (streptococcus faecalis);AC=NCBITaxon:1351	not available	not available	2	PXD010884_Rappsilber_x0957_5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA-loop (SDA crosslink within a peptide that is also crosslinked to a separate peptide);AC=null;TA=null;MT=Variable	not available	not available	NT=[{'NT': 'DSS', 'AC': 'XLMOD:02001', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'disuccinimidyl suberate (DSS), which predominantly crosslinks primary amines on Lys residues and the N-terminus of proteins', 'evidence_location': 'Results'}, {'NT': 'sulfo-SDA', 'AC': 'XLMOD:02136', 'CL': 'null', 'TA': 'K,S,T,Y', 'confidence': 'high', 'evidence_quote': 'Crosslinking was carried out according to previously described procedures . Briefly, target proteins were crosslinked separately using sulfosuccinimidyl 4,4’-azipentanoate (sulfo-SDA)', 'evidence_location': 'Methods'}, {'NT': 'PDH', 'AC': None, 'CL': 'null', 'TA': 'D,E', 'confidence': 'medium', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM, resulting in crosslinks between residues with carboxyl groups (Asp, Glu, and the C-terminus)', 'evidence_location': 'Results'}, {'NT': 'DMTMM', 'AC': None, 'CL': 'null', 'TA': 'D,E,nterm', 'confidence': 'low', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM', 'evidence_location': 'Results'}]	not available	not available	0.13:1	30 minutes	25 °C	Rappsilber_x0957_5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD010884_Rappsilber_x0987_6	NT=Escherichia coli;AC=NCBITaxon:562	NT=Klebsiella pneumoniae 342;AC=NCBITaxon:507522	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Enterococcus faecalis (streptococcus faecalis);AC=NCBITaxon:1351	not available	not available	3	PXD010884_Rappsilber_x0987_6_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA-loop (SDA crosslink within a peptide that is also crosslinked to a separate peptide);AC=null;TA=null;MT=Variable	not available	not available	NT=[{'NT': 'DSS', 'AC': 'XLMOD:02001', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'disuccinimidyl suberate (DSS), which predominantly crosslinks primary amines on Lys residues and the N-terminus of proteins', 'evidence_location': 'Results'}, {'NT': 'sulfo-SDA', 'AC': 'XLMOD:02136', 'CL': 'null', 'TA': 'K,S,T,Y', 'confidence': 'high', 'evidence_quote': 'Crosslinking was carried out according to previously described procedures . Briefly, target proteins were crosslinked separately using sulfosuccinimidyl 4,4’-azipentanoate (sulfo-SDA)', 'evidence_location': 'Methods'}, {'NT': 'PDH', 'AC': None, 'CL': 'null', 'TA': 'D,E', 'confidence': 'medium', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM, resulting in crosslinks between residues with carboxyl groups (Asp, Glu, and the C-terminus)', 'evidence_location': 'Results'}, {'NT': 'DMTMM', 'AC': None, 'CL': 'null', 'TA': 'D,E,nterm', 'confidence': 'low', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM', 'evidence_location': 'Results'}]	not available	not available	0.13:1	30 minutes	25 °C	Rappsilber_x0987_6.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD010884_Rappsilber_x0957_7	NT=Escherichia coli;AC=NCBITaxon:562	NT=Klebsiella pneumoniae 342;AC=NCBITaxon:507522	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Enterococcus faecalis (streptococcus faecalis);AC=NCBITaxon:1351	not available	not available	4	PXD010884_Rappsilber_x0957_7_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA-loop (SDA crosslink within a peptide that is also crosslinked to a separate peptide);AC=null;TA=null;MT=Variable	not available	not available	NT=[{'NT': 'DSS', 'AC': 'XLMOD:02001', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'disuccinimidyl suberate (DSS), which predominantly crosslinks primary amines on Lys residues and the N-terminus of proteins', 'evidence_location': 'Results'}, {'NT': 'sulfo-SDA', 'AC': 'XLMOD:02136', 'CL': 'null', 'TA': 'K,S,T,Y', 'confidence': 'high', 'evidence_quote': 'Crosslinking was carried out according to previously described procedures . Briefly, target proteins were crosslinked separately using sulfosuccinimidyl 4,4’-azipentanoate (sulfo-SDA)', 'evidence_location': 'Methods'}, {'NT': 'PDH', 'AC': None, 'CL': 'null', 'TA': 'D,E', 'confidence': 'medium', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM, resulting in crosslinks between residues with carboxyl groups (Asp, Glu, and the C-terminus)', 'evidence_location': 'Results'}, {'NT': 'DMTMM', 'AC': None, 'CL': 'null', 'TA': 'D,E,nterm', 'confidence': 'low', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM', 'evidence_location': 'Results'}]	not available	not available	0.13:1	30 minutes	25 °C	Rappsilber_x0957_7.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD010884_Rappsilber_x0957_9	NT=Escherichia coli;AC=NCBITaxon:562	NT=Klebsiella pneumoniae 342;AC=NCBITaxon:507522	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Enterococcus faecalis (streptococcus faecalis);AC=NCBITaxon:1351	not available	not available	5	PXD010884_Rappsilber_x0957_9_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA-loop (SDA crosslink within a peptide that is also crosslinked to a separate peptide);AC=null;TA=null;MT=Variable	not available	not available	NT=[{'NT': 'DSS', 'AC': 'XLMOD:02001', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'disuccinimidyl suberate (DSS), which predominantly crosslinks primary amines on Lys residues and the N-terminus of proteins', 'evidence_location': 'Results'}, {'NT': 'sulfo-SDA', 'AC': 'XLMOD:02136', 'CL': 'null', 'TA': 'K,S,T,Y', 'confidence': 'high', 'evidence_quote': 'Crosslinking was carried out according to previously described procedures . Briefly, target proteins were crosslinked separately using sulfosuccinimidyl 4,4’-azipentanoate (sulfo-SDA)', 'evidence_location': 'Methods'}, {'NT': 'PDH', 'AC': None, 'CL': 'null', 'TA': 'D,E', 'confidence': 'medium', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM, resulting in crosslinks between residues with carboxyl groups (Asp, Glu, and the C-terminus)', 'evidence_location': 'Results'}, {'NT': 'DMTMM', 'AC': None, 'CL': 'null', 'TA': 'D,E,nterm', 'confidence': 'low', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM', 'evidence_location': 'Results'}]	not available	not available	0.13:1	30 minutes	25 °C	Rappsilber_x0957_9.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD010884_Rappsilber_x0987_2	NT=Escherichia coli;AC=NCBITaxon:562	NT=Klebsiella pneumoniae 342;AC=NCBITaxon:507522	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Enterococcus faecalis (streptococcus faecalis);AC=NCBITaxon:1351	not available	not available	6	PXD010884_Rappsilber_x0987_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA-loop (SDA crosslink within a peptide that is also crosslinked to a separate peptide);AC=null;TA=null;MT=Variable	not available	not available	NT=[{'NT': 'DSS', 'AC': 'XLMOD:02001', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'disuccinimidyl suberate (DSS), which predominantly crosslinks primary amines on Lys residues and the N-terminus of proteins', 'evidence_location': 'Results'}, {'NT': 'sulfo-SDA', 'AC': 'XLMOD:02136', 'CL': 'null', 'TA': 'K,S,T,Y', 'confidence': 'high', 'evidence_quote': 'Crosslinking was carried out according to previously described procedures . Briefly, target proteins were crosslinked separately using sulfosuccinimidyl 4,4’-azipentanoate (sulfo-SDA)', 'evidence_location': 'Methods'}, {'NT': 'PDH', 'AC': None, 'CL': 'null', 'TA': 'D,E', 'confidence': 'medium', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM, resulting in crosslinks between residues with carboxyl groups (Asp, Glu, and the C-terminus)', 'evidence_location': 'Results'}, {'NT': 'DMTMM', 'AC': None, 'CL': 'null', 'TA': 'D,E,nterm', 'confidence': 'low', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM', 'evidence_location': 'Results'}]	not available	not available	0.13:1	30 minutes	25 °C	Rappsilber_x0987_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD010884_Rappsilber_x0968_2	NT=Escherichia coli;AC=NCBITaxon:562	NT=Klebsiella pneumoniae 342;AC=NCBITaxon:507522	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Enterococcus faecalis (streptococcus faecalis);AC=NCBITaxon:1351	not available	not available	7	PXD010884_Rappsilber_x0968_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA-loop (SDA crosslink within a peptide that is also crosslinked to a separate peptide);AC=null;TA=null;MT=Variable	not available	not available	NT=[{'NT': 'DSS', 'AC': 'XLMOD:02001', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'disuccinimidyl suberate (DSS), which predominantly crosslinks primary amines on Lys residues and the N-terminus of proteins', 'evidence_location': 'Results'}, {'NT': 'sulfo-SDA', 'AC': 'XLMOD:02136', 'CL': 'null', 'TA': 'K,S,T,Y', 'confidence': 'high', 'evidence_quote': 'Crosslinking was carried out according to previously described procedures . Briefly, target proteins were crosslinked separately using sulfosuccinimidyl 4,4’-azipentanoate (sulfo-SDA)', 'evidence_location': 'Methods'}, {'NT': 'PDH', 'AC': None, 'CL': 'null', 'TA': 'D,E', 'confidence': 'medium', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM, resulting in crosslinks between residues with carboxyl groups (Asp, Glu, and the C-terminus)', 'evidence_location': 'Results'}, {'NT': 'DMTMM', 'AC': None, 'CL': 'null', 'TA': 'D,E,nterm', 'confidence': 'low', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM', 'evidence_location': 'Results'}]	not available	not available	0.13:1	30 minutes	25 °C	Rappsilber_x0968_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD010884_Rappsilber_x0968_6	NT=Escherichia coli;AC=NCBITaxon:562	NT=Klebsiella pneumoniae 342;AC=NCBITaxon:507522	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Enterococcus faecalis (streptococcus faecalis);AC=NCBITaxon:1351	not available	not available	8	PXD010884_Rappsilber_x0968_6_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA-loop (SDA crosslink within a peptide that is also crosslinked to a separate peptide);AC=null;TA=null;MT=Variable	not available	not available	NT=[{'NT': 'DSS', 'AC': 'XLMOD:02001', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'disuccinimidyl suberate (DSS), which predominantly crosslinks primary amines on Lys residues and the N-terminus of proteins', 'evidence_location': 'Results'}, {'NT': 'sulfo-SDA', 'AC': 'XLMOD:02136', 'CL': 'null', 'TA': 'K,S,T,Y', 'confidence': 'high', 'evidence_quote': 'Crosslinking was carried out according to previously described procedures . Briefly, target proteins were crosslinked separately using sulfosuccinimidyl 4,4’-azipentanoate (sulfo-SDA)', 'evidence_location': 'Methods'}, {'NT': 'PDH', 'AC': None, 'CL': 'null', 'TA': 'D,E', 'confidence': 'medium', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM, resulting in crosslinks between residues with carboxyl groups (Asp, Glu, and the C-terminus)', 'evidence_location': 'Results'}, {'NT': 'DMTMM', 'AC': None, 'CL': 'null', 'TA': 'D,E,nterm', 'confidence': 'low', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM', 'evidence_location': 'Results'}]	not available	not available	0.13:1	30 minutes	25 °C	Rappsilber_x0968_6.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD010884_Rappsilber_x0957_8	NT=Escherichia coli;AC=NCBITaxon:562	NT=Klebsiella pneumoniae 342;AC=NCBITaxon:507522	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Enterococcus faecalis (streptococcus faecalis);AC=NCBITaxon:1351	not available	not available	9	PXD010884_Rappsilber_x0957_8_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA-loop (SDA crosslink within a peptide that is also crosslinked to a separate peptide);AC=null;TA=null;MT=Variable	not available	not available	NT=[{'NT': 'DSS', 'AC': 'XLMOD:02001', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'disuccinimidyl suberate (DSS), which predominantly crosslinks primary amines on Lys residues and the N-terminus of proteins', 'evidence_location': 'Results'}, {'NT': 'sulfo-SDA', 'AC': 'XLMOD:02136', 'CL': 'null', 'TA': 'K,S,T,Y', 'confidence': 'high', 'evidence_quote': 'Crosslinking was carried out according to previously described procedures . Briefly, target proteins were crosslinked separately using sulfosuccinimidyl 4,4’-azipentanoate (sulfo-SDA)', 'evidence_location': 'Methods'}, {'NT': 'PDH', 'AC': None, 'CL': 'null', 'TA': 'D,E', 'confidence': 'medium', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM, resulting in crosslinks between residues with carboxyl groups (Asp, Glu, and the C-terminus)', 'evidence_location': 'Results'}, {'NT': 'DMTMM', 'AC': None, 'CL': 'null', 'TA': 'D,E,nterm', 'confidence': 'low', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM', 'evidence_location': 'Results'}]	not available	not available	0.13:1	30 minutes	25 °C	Rappsilber_x0957_8.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD010884_Rappsilber_x0975_3	NT=Escherichia coli;AC=NCBITaxon:562	NT=Klebsiella pneumoniae 342;AC=NCBITaxon:507522	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Enterococcus faecalis (streptococcus faecalis);AC=NCBITaxon:1351	not available	not available	10	PXD010884_Rappsilber_x0975_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA-loop (SDA crosslink within a peptide that is also crosslinked to a separate peptide);AC=null;TA=null;MT=Variable	not available	not available	NT=[{'NT': 'DSS', 'AC': 'XLMOD:02001', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'disuccinimidyl suberate (DSS), which predominantly crosslinks primary amines on Lys residues and the N-terminus of proteins', 'evidence_location': 'Results'}, {'NT': 'sulfo-SDA', 'AC': 'XLMOD:02136', 'CL': 'null', 'TA': 'K,S,T,Y', 'confidence': 'high', 'evidence_quote': 'Crosslinking was carried out according to previously described procedures . Briefly, target proteins were crosslinked separately using sulfosuccinimidyl 4,4’-azipentanoate (sulfo-SDA)', 'evidence_location': 'Methods'}, {'NT': 'PDH', 'AC': None, 'CL': 'null', 'TA': 'D,E', 'confidence': 'medium', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM, resulting in crosslinks between residues with carboxyl groups (Asp, Glu, and the C-terminus)', 'evidence_location': 'Results'}, {'NT': 'DMTMM', 'AC': None, 'CL': 'null', 'TA': 'D,E,nterm', 'confidence': 'low', 'evidence_quote': 'and a combination of pimelic acid dihydrazide (PDH) and the coupling reagent DMTMM', 'evidence_location': 'Results'}]	not available	not available	0.13:1	30 minutes	25 °C	Rappsilber_x0975_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
