source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD011071_TRAPP_cerevisiae_800_S7_2	Saccharomyces cerevisiae	not available	not available	1	PXD011071_TRAPP_cerevisiae_800_S7_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	TRAPP_cerevisiae_800_S7_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_TRAPP_cerevisiae_400_S12_2	Saccharomyces cerevisiae	not available	not available	2	PXD011071_TRAPP_cerevisiae_400_S12_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	TRAPP_cerevisiae_400_S12_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_Sorbic_cerevisiae_total_proteome_B4	Saccharomyces cerevisiae	not available	not available	3	PXD011071_Sorbic_cerevisiae_total_proteome_B4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	Sorbic_cerevisiae_total_proteome_B4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_TRAPP_cerevisiae_400_S10_2	Saccharomyces cerevisiae	not available	not available	4	PXD011071_TRAPP_cerevisiae_400_S10_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	TRAPP_cerevisiae_400_S10_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_TRAPP_cerevisiae_1360_S6_1	Saccharomyces cerevisiae	not available	not available	5	PXD011071_TRAPP_cerevisiae_1360_S6_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	TRAPP_cerevisiae_1360_S6_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_PARTRAPP_cerevisiae_H1_3	Saccharomyces cerevisiae	not available	not available	6	PXD011071_PARTRAPP_cerevisiae_H1_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	PARTRAPP_cerevisiae_H1_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_Sorbic_cerevisiae_total_proteome_A2	Saccharomyces cerevisiae	not available	not available	7	PXD011071_Sorbic_cerevisiae_total_proteome_A2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	Sorbic_cerevisiae_total_proteome_A2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_Sorbic_cerevisiae_total_proteome_A4	Saccharomyces cerevisiae	not available	not available	8	PXD011071_Sorbic_cerevisiae_total_proteome_A4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	Sorbic_cerevisiae_total_proteome_A4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_TRAPP_cerevisiae_1360_S6_4	Saccharomyces cerevisiae	not available	not available	9	PXD011071_TRAPP_cerevisiae_1360_S6_4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	TRAPP_cerevisiae_1360_S6_4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD011071_PARTRAPP_cerevisiae_A_2	Saccharomyces cerevisiae	not available	not available	10	PXD011071_PARTRAPP_cerevisiae_A_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=SILAC;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	not available	not available	not available	TiO2 enrichment (titanium dioxide) of RNA-crosslinked phosphopeptides (iTRAPP)	0.5 mM	not available	3 h (4-thiouracil labelling prior to UVA crosslinking)	30 °C	PARTRAPP_cerevisiae_A_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
