source name	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD011861_Lumos_RSLC6_Tryp-GluC_CID-HCD_SEC_F5_1	Homo sapiens	not available	not available	not available	not available	ribosome	not available	1	PXD011861_Lumos_RSLC6_Tryp-GluC_CID-HCD_SEC_F5_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	5	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC6_Tryp-GluC_CID-HCD_SEC_F5_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_QExHFX4_RSLC5_Ovalbumin_DSSO_stepped_ID	Homo sapiens	not available	not available	not available	not available	ribosome	not available	1	PXD011861_QExHFX4_RSLC5_Ovalbumin_DSSO_stepped_ID_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	QExHFX4_RSLC5_Ovalbumin_DSSO_stepped_ID.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_Lumos_RSLC3_BSA_MS2MS3_2	Homo sapiens	not available	not available	not available	not available	ribosome	not available	2	PXD011861_Lumos_RSLC3_BSA_MS2MS3_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC3_BSA_MS2MS3_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_Lumos_RSLC2_BSA_DSSO_Opt_1	Homo sapiens	not available	not available	not available	not available	ribosome	not available	3	PXD011861_Lumos_RSLC2_BSA_DSSO_Opt_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC2_BSA_DSSO_Opt_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_Lumos_RSLC6_CID_to_HCD_BSA_3	Homo sapiens	not available	not available	not available	not available	ribosome	not available	4	PXD011861_Lumos_RSLC6_CID_to_HCD_BSA_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC6_CID_to_HCD_BSA_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_Lumos_RSLC6_DSBU_Opt_BSA_2	Homo sapiens	not available	not available	not available	not available	ribosome	not available	5	PXD011861_Lumos_RSLC6_DSBU_Opt_BSA_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC6_DSBU_Opt_BSA_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_Lumos_RSLC3_BSA_stepped-HCD_1	Homo sapiens	not available	not available	not available	not available	ribosome	not available	6	PXD011861_Lumos_RSLC3_BSA_stepped-HCD_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC3_BSA_stepped-HCD_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_Lumos_RSLC6_Tryp-GluC_CID-HCD_SEC_F5_3	Homo sapiens	not available	not available	not available	not available	ribosome	not available	2	PXD011861_Lumos_RSLC6_Tryp-GluC_CID-HCD_SEC_F5_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	5	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC6_Tryp-GluC_CID-HCD_SEC_F5_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_Lumos_RSLC2_Conalbumin_DSSO_CID-ETD_ID	Homo sapiens	not available	not available	not available	not available	ribosome	not available	7	PXD011861_Lumos_RSLC2_Conalbumin_DSSO_CID-ETD_ID_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC2_Conalbumin_DSSO_CID-ETD_ID.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_QexHF1_RSLC1_Ribosome_ID	NT=Bos taurus;AC=NCBITaxon:9913	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Gallus gallus (conalbumin; DSSO)	NT=Gallus gallus (ovalbumin; DSSO)	NT=unknown organism (ribosome sample; not specified)	ribosome	not available	8	PXD011861_QexHF1_RSLC1_Ribosome_ID_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	QexHF1_RSLC1_Ribosome_ID.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
