source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD011974_Ingel22379	Homo sapiens	whole-cell lysate	prostate cancer cells	1	PXD011974_Ingel22379_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel22379.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel22292	Homo sapiens	whole-cell lysate	prostate cancer cells	2	PXD011974_Ingel22292_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel22292.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel22380	Homo sapiens	whole-cell lysate	prostate cancer cells	3	PXD011974_Ingel22380_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel22380.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20855	Homo sapiens	whole-cell lysate	prostate cancer cells	4	PXD011974_Ingel20855_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20855.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20842	Homo sapiens	whole-cell lysate	prostate cancer cells	5	PXD011974_Ingel20842_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20842.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20843	Homo sapiens	whole-cell lysate	prostate cancer cells	6	PXD011974_Ingel20843_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20843.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel20835	Homo sapiens	whole-cell lysate	prostate cancer cells	7	PXD011974_Ingel20835_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel20835.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel22318	Homo sapiens	whole-cell lysate	prostate cancer cells	8	PXD011974_Ingel22318_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel22318.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel22381	Homo sapiens	whole-cell lysate	prostate cancer cells	9	PXD011974_Ingel22381_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel22381.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD011974_Ingel22293	Homo sapiens	whole-cell lysate	prostate cancer cells	10	PXD011974_Ingel22293_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:9;TA=Q;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	Ingel22293.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
