source name	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD012109_Disuf_500mM_rej12_exiso	NT=Escherichia coli;AC=NCBITaxon:562	NT=Caenorhabditis elegans;AC=NCBITaxon:6239	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Drosophila melanogaster;AC=NCBITaxon:7227	whole-cell lysate	not available	1	PXD012109_Disuf_500mM_rej12_exiso_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BS3', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'cross-linked pairwise through BS3', 'evidence_location': 'Methods'}, {'NT': 'bAL2', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'Leiker bAL2 was used to cross-link the E. coli MG1655 whole-cell lysates.', 'evidence_location': 'Methods'}, {'NT': 'disulfide bonds', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'cross-linked pairwise through disulfide bonds.', 'evidence_location': 'Methods'}]	affinity enrichment (streptavidin beads for biotin-tagged bAL2-linked peptides)	not available	not available	0.5 h	room temperature	Disuf_500mM_rej12_exiso.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD012109_Disuf_650mM_rej12	NT=Escherichia coli;AC=NCBITaxon:562	NT=Caenorhabditis elegans;AC=NCBITaxon:6239	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Drosophila melanogaster;AC=NCBITaxon:7227	whole-cell lysate	not available	2	PXD012109_Disuf_650mM_rej12_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BS3', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'cross-linked pairwise through BS3', 'evidence_location': 'Methods'}, {'NT': 'bAL2', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'Leiker bAL2 was used to cross-link the E. coli MG1655 whole-cell lysates.', 'evidence_location': 'Methods'}, {'NT': 'disulfide bonds', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'cross-linked pairwise through disulfide bonds.', 'evidence_location': 'Methods'}]	affinity enrichment (streptavidin beads for biotin-tagged bAL2-linked peptides)	not available	not available	0.5 h	room temperature	Disuf_650mM_rej12.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD012109_Disuf_150mM_rej12	NT=Escherichia coli;AC=NCBITaxon:562	NT=Caenorhabditis elegans;AC=NCBITaxon:6239	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Drosophila melanogaster;AC=NCBITaxon:7227	whole-cell lysate	not available	3	PXD012109_Disuf_150mM_rej12_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BS3', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'cross-linked pairwise through BS3', 'evidence_location': 'Methods'}, {'NT': 'bAL2', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'Leiker bAL2 was used to cross-link the E. coli MG1655 whole-cell lysates.', 'evidence_location': 'Methods'}, {'NT': 'disulfide bonds', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'cross-linked pairwise through disulfide bonds.', 'evidence_location': 'Methods'}]	affinity enrichment (streptavidin beads for biotin-tagged bAL2-linked peptides)	not available	not available	0.5 h	room temperature	Disuf_150mM_rej12.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD012109_Ecoli-E1-F2-20151208	Escherichia coli	not available	not available	not available	whole-cell lysate	not available	1	PXD012109_Ecoli-E1-F2-20151208_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	2	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BS3', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'cross-linked pairwise through BS3', 'evidence_location': 'Methods'}, {'NT': 'bAL2', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'Leiker bAL2 was used to cross-link the E. coli MG1655 whole-cell lysates.', 'evidence_location': 'Methods'}, {'NT': 'disulfide bonds', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'cross-linked pairwise through disulfide bonds.', 'evidence_location': 'Methods'}]	affinity enrichment (streptavidin beads for biotin-tagged bAL2-linked peptides)	not available	not available	0.5 h	room temperature	Ecoli-E1-F2-20151208.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD012109_Ecoli-E1-F5-20151208	Escherichia coli	not available	not available	not available	whole-cell lysate	not available	1	PXD012109_Ecoli-E1-F5-20151208_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	5	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BS3', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'cross-linked pairwise through BS3', 'evidence_location': 'Methods'}, {'NT': 'bAL2', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'Leiker bAL2 was used to cross-link the E. coli MG1655 whole-cell lysates.', 'evidence_location': 'Methods'}, {'NT': 'disulfide bonds', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'cross-linked pairwise through disulfide bonds.', 'evidence_location': 'Methods'}]	affinity enrichment (streptavidin beads for biotin-tagged bAL2-linked peptides)	not available	not available	0.5 h	room temperature	Ecoli-E1-F5-20151208.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD012109_Disuf_150mM_rej12_90min	NT=Escherichia coli;AC=NCBITaxon:562	NT=Caenorhabditis elegans;AC=NCBITaxon:6239	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Drosophila melanogaster;AC=NCBITaxon:7227	whole-cell lysate	not available	4	PXD012109_Disuf_150mM_rej12_90min_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BS3', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'cross-linked pairwise through BS3', 'evidence_location': 'Methods'}, {'NT': 'bAL2', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'Leiker bAL2 was used to cross-link the E. coli MG1655 whole-cell lysates.', 'evidence_location': 'Methods'}, {'NT': 'disulfide bonds', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'cross-linked pairwise through disulfide bonds.', 'evidence_location': 'Methods'}]	affinity enrichment (streptavidin beads for biotin-tagged bAL2-linked peptides)	not available	not available	0.5 h	room temperature	Disuf_150mM_rej12_90min.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD012109_Disuf_50mM_rej12_90min	NT=Escherichia coli;AC=NCBITaxon:562	NT=Caenorhabditis elegans;AC=NCBITaxon:6239	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Drosophila melanogaster;AC=NCBITaxon:7227	whole-cell lysate	not available	5	PXD012109_Disuf_50mM_rej12_90min_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BS3', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'cross-linked pairwise through BS3', 'evidence_location': 'Methods'}, {'NT': 'bAL2', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'Leiker bAL2 was used to cross-link the E. coli MG1655 whole-cell lysates.', 'evidence_location': 'Methods'}, {'NT': 'disulfide bonds', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'cross-linked pairwise through disulfide bonds.', 'evidence_location': 'Methods'}]	affinity enrichment (streptavidin beads for biotin-tagged bAL2-linked peptides)	not available	not available	0.5 h	room temperature	Disuf_50mM_rej12_90min.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD012109_Ecoli-E1-F4-20151208	Escherichia coli	not available	not available	not available	whole-cell lysate	not available	1	PXD012109_Ecoli-E1-F4-20151208_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	4	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BS3', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'cross-linked pairwise through BS3', 'evidence_location': 'Methods'}, {'NT': 'bAL2', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'Leiker bAL2 was used to cross-link the E. coli MG1655 whole-cell lysates.', 'evidence_location': 'Methods'}, {'NT': 'disulfide bonds', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'cross-linked pairwise through disulfide bonds.', 'evidence_location': 'Methods'}]	affinity enrichment (streptavidin beads for biotin-tagged bAL2-linked peptides)	not available	not available	0.5 h	room temperature	Ecoli-E1-F4-20151208.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD012109_Ecoli-E1-F1-20151208_3ul	Escherichia coli	not available	not available	not available	whole-cell lysate	not available	6	PXD012109_Ecoli-E1-F1-20151208_3ul_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BS3', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'cross-linked pairwise through BS3', 'evidence_location': 'Methods'}, {'NT': 'bAL2', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'Leiker bAL2 was used to cross-link the E. coli MG1655 whole-cell lysates.', 'evidence_location': 'Methods'}, {'NT': 'disulfide bonds', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'cross-linked pairwise through disulfide bonds.', 'evidence_location': 'Methods'}]	affinity enrichment (streptavidin beads for biotin-tagged bAL2-linked peptides)	not available	not available	0.5 h	room temperature	Ecoli-E1-F1-20151208_3ul.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD012109_Ecoli-E1-F3-20151208	Escherichia coli	not available	not available	not available	whole-cell lysate	not available	1	PXD012109_Ecoli-E1-F3-20151208_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	3	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BS3', 'AC': 'XLMOD:02000', 'CL': 'no', 'TA': 'K,nterm', 'confidence': 'high', 'evidence_quote': 'cross-linked pairwise through BS3', 'evidence_location': 'Methods'}, {'NT': 'bAL2', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'Leiker bAL2 was used to cross-link the E. coli MG1655 whole-cell lysates.', 'evidence_location': 'Methods'}, {'NT': 'disulfide bonds', 'AC': None, 'CL': None, 'TA': None, 'confidence': 'medium', 'evidence_quote': 'cross-linked pairwise through disulfide bonds.', 'evidence_location': 'Methods'}]	affinity enrichment (streptavidin beads for biotin-tagged bAL2-linked peptides)	not available	not available	0.5 h	room temperature	Ecoli-E1-F3-20151208.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
