source name	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD013338_Dmel_S2_C_FActrl_03	Drosophila melanogaster	not available	whole cell lysate	not available	1	PXD013338_Dmel_S2_C_FActrl_03_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_C_FActrl_03.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_F_UV_F_01	Drosophila melanogaster	not available	whole cell lysate	not available	1	PXD013338_Dmel_S2_F_UV_F_01_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	01	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_F_UV_F_01.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_D_FA_006	Drosophila melanogaster	not available	whole cell lysate	not available	2	PXD013338_Dmel_S2_D_FA_006_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_D_FA_006.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_H_FA_001	Drosophila melanogaster	not available	whole cell lysate	not available	3	PXD013338_Dmel_S2_H_FA_001_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_H_FA_001.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_dme_s2_wc_dp_nonuv_adjpep_biorep2_trep_2	Drosophila melanogaster	not available	whole cell lysate	not available	4	PXD013338_dme_s2_wc_dp_nonuv_adjpep_biorep2_trep_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	dme_s2_wc_dp_nonuv_adjpep_biorep2_trep_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_B_UV_06	Drosophila melanogaster	not available	whole cell lysate	not available	5	PXD013338_Dmel_S2_B_UV_06_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_B_UV_06.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_K_UV_03	Drosophila melanogaster (fruit fly)	not available	whole cell lysate	not available	6	PXD013338_Dmel_S2_K_UV_03_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_K_UV_03.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_C_FActrl_05	Drosophila melanogaster	not available	whole cell lysate	not available	7	PXD013338_Dmel_S2_C_FActrl_05_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_C_FActrl_05.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_hs_hek_wc_dp_prodirp_nonuv_adjpep_biorep2_trep2_feb2016	Homo sapiens	not available	whole cell lysate	not available	8	PXD013338_hs_hek_wc_dp_prodirp_nonuv_adjpep_biorep2_trep2_feb2016_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	hs_hek_wc_dp_prodirp_nonuv_adjpep_biorep2_trep2_feb2016.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD013338_Dmel_S2_F_UV_F_005	Drosophila melanogaster	not available	whole cell lysate	not available	1	PXD013338_Dmel_S2_F_UV_F_005_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	005	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=UNIMOD:1;TA=;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidation;AC=UNIMOD:35;TA=Q;MT=Variable	not available	not available	NT=[{'NT': 'FA', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=FA;AC=null;CL=null;TA=K,nterm'}, {'NT': 'formaldehyde', 'AC': None, 'CL': None, 'TA': 'K,nterm', 'structured': 'NT=formaldehyde;AC=null;CL=null;TA=K,nterm'}]	oligo-dT magnetic beads (polyA+ pulldown)	0.1% (v/v)	not available	10 min	room temperature	Dmel_S2_F_UV_F_005.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
