source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP13_02_F0	Homo sapiens	whole cell lysate	not available	1	PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP13_02_F0_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	0	1	not available	NT=NT=Lysyl Endopeptidase;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=ADP-ribosylation;AC=null;TA=C;MT=Variable	NT=ADP-ribosylation;AC=null;TA=D;MT=Variable	NT=ADP-ribosylation;AC=null;TA=E;MT=Variable	NT=ADP-ribosylation;AC=null;TA=H;MT=Variable	NT=ADP-ribosylation;AC=null;TA=K;MT=Variable	NT=ADP-ribosylation;AC=null;TA=R;MT=Variable	NT=ADP-ribosylation;AC=null;TA=S;MT=Variable	NT=ADP-ribosylation;AC=null;TA=T;MT=Variable	NT=ADP-ribosylation;AC=null;TA=Y;MT=Variable	not available	not available	not available	NeutrAvidin agarose enrichment (biotin-peg3-azide click conjugation)	not available	not available	not available	not available	20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP13_02_F0.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP13_02	Homo sapiens	whole cell lysate	not available	1	PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP13_02_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=NT=Lysyl Endopeptidase;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=ADP-ribosylation;AC=null;TA=C;MT=Variable	NT=ADP-ribosylation;AC=null;TA=D;MT=Variable	NT=ADP-ribosylation;AC=null;TA=E;MT=Variable	NT=ADP-ribosylation;AC=null;TA=H;MT=Variable	NT=ADP-ribosylation;AC=null;TA=K;MT=Variable	NT=ADP-ribosylation;AC=null;TA=R;MT=Variable	NT=ADP-ribosylation;AC=null;TA=S;MT=Variable	NT=ADP-ribosylation;AC=null;TA=T;MT=Variable	NT=ADP-ribosylation;AC=null;TA=Y;MT=Variable	not available	not available	not available	NeutrAvidin agarose enrichment (biotin-peg3-azide click conjugation)	not available	not available	not available	not available	20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP13_02.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7and13_01_F0	Homo sapiens	whole cell lysate	not available	2	PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7and13_01_F0_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	0	1	not available	NT=NT=Lysyl Endopeptidase;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=ADP-ribosylation;AC=null;TA=C;MT=Variable	NT=ADP-ribosylation;AC=null;TA=D;MT=Variable	NT=ADP-ribosylation;AC=null;TA=E;MT=Variable	NT=ADP-ribosylation;AC=null;TA=H;MT=Variable	NT=ADP-ribosylation;AC=null;TA=K;MT=Variable	NT=ADP-ribosylation;AC=null;TA=R;MT=Variable	NT=ADP-ribosylation;AC=null;TA=S;MT=Variable	NT=ADP-ribosylation;AC=null;TA=T;MT=Variable	NT=ADP-ribosylation;AC=null;TA=Y;MT=Variable	not available	not available	not available	NeutrAvidin agarose enrichment (biotin-peg3-azide click conjugation)	not available	not available	not available	not available	20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7and13_01_F0.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP13_01	Homo sapiens	whole cell lysate	not available	2	PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP13_01_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=NT=Lysyl Endopeptidase;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=ADP-ribosylation;AC=null;TA=C;MT=Variable	NT=ADP-ribosylation;AC=null;TA=D;MT=Variable	NT=ADP-ribosylation;AC=null;TA=E;MT=Variable	NT=ADP-ribosylation;AC=null;TA=H;MT=Variable	NT=ADP-ribosylation;AC=null;TA=K;MT=Variable	NT=ADP-ribosylation;AC=null;TA=R;MT=Variable	NT=ADP-ribosylation;AC=null;TA=S;MT=Variable	NT=ADP-ribosylation;AC=null;TA=T;MT=Variable	NT=ADP-ribosylation;AC=null;TA=Y;MT=Variable	not available	not available	not available	NeutrAvidin agarose enrichment (biotin-peg3-azide click conjugation)	not available	not available	not available	not available	20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP13_01.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7and13_01	Homo sapiens	whole cell lysate	not available	3	PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7and13_01_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=NT=Lysyl Endopeptidase;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=ADP-ribosylation;AC=null;TA=C;MT=Variable	NT=ADP-ribosylation;AC=null;TA=D;MT=Variable	NT=ADP-ribosylation;AC=null;TA=E;MT=Variable	NT=ADP-ribosylation;AC=null;TA=H;MT=Variable	NT=ADP-ribosylation;AC=null;TA=K;MT=Variable	NT=ADP-ribosylation;AC=null;TA=R;MT=Variable	NT=ADP-ribosylation;AC=null;TA=S;MT=Variable	NT=ADP-ribosylation;AC=null;TA=T;MT=Variable	NT=ADP-ribosylation;AC=null;TA=Y;MT=Variable	not available	not available	not available	NeutrAvidin agarose enrichment (biotin-peg3-azide click conjugation)	not available	not available	not available	not available	20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7and13_01.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7_02	Homo sapiens	whole cell lysate	not available	4	PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7_02_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=NT=Lysyl Endopeptidase;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=ADP-ribosylation;AC=null;TA=C;MT=Variable	NT=ADP-ribosylation;AC=null;TA=D;MT=Variable	NT=ADP-ribosylation;AC=null;TA=E;MT=Variable	NT=ADP-ribosylation;AC=null;TA=H;MT=Variable	NT=ADP-ribosylation;AC=null;TA=K;MT=Variable	NT=ADP-ribosylation;AC=null;TA=R;MT=Variable	NT=ADP-ribosylation;AC=null;TA=S;MT=Variable	NT=ADP-ribosylation;AC=null;TA=T;MT=Variable	NT=ADP-ribosylation;AC=null;TA=Y;MT=Variable	not available	not available	not available	NeutrAvidin agarose enrichment (biotin-peg3-azide click conjugation)	not available	not available	not available	not available	20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7_02.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP13_01_F0	Homo sapiens	whole cell lysate	not available	3	PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP13_01_F0_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	0	1	not available	NT=NT=Lysyl Endopeptidase;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=ADP-ribosylation;AC=null;TA=C;MT=Variable	NT=ADP-ribosylation;AC=null;TA=D;MT=Variable	NT=ADP-ribosylation;AC=null;TA=E;MT=Variable	NT=ADP-ribosylation;AC=null;TA=H;MT=Variable	NT=ADP-ribosylation;AC=null;TA=K;MT=Variable	NT=ADP-ribosylation;AC=null;TA=R;MT=Variable	NT=ADP-ribosylation;AC=null;TA=S;MT=Variable	NT=ADP-ribosylation;AC=null;TA=T;MT=Variable	NT=ADP-ribosylation;AC=null;TA=Y;MT=Variable	not available	not available	not available	NeutrAvidin agarose enrichment (biotin-peg3-azide click conjugation)	not available	not available	not available	not available	20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP13_01_F0.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7_01_F0	Homo sapiens	whole cell lysate	not available	4	PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7_01_F0_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	0	1	not available	NT=NT=Lysyl Endopeptidase;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=ADP-ribosylation;AC=null;TA=C;MT=Variable	NT=ADP-ribosylation;AC=null;TA=D;MT=Variable	NT=ADP-ribosylation;AC=null;TA=E;MT=Variable	NT=ADP-ribosylation;AC=null;TA=H;MT=Variable	NT=ADP-ribosylation;AC=null;TA=K;MT=Variable	NT=ADP-ribosylation;AC=null;TA=R;MT=Variable	NT=ADP-ribosylation;AC=null;TA=S;MT=Variable	NT=ADP-ribosylation;AC=null;TA=T;MT=Variable	NT=ADP-ribosylation;AC=null;TA=Y;MT=Variable	not available	not available	not available	NeutrAvidin agarose enrichment (biotin-peg3-azide click conjugation)	not available	not available	not available	not available	20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7_01_F0.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7_02_F0	Homo sapiens	whole cell lysate	not available	5	PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7_02_F0_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	0	1	not available	NT=NT=Lysyl Endopeptidase;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=ADP-ribosylation;AC=null;TA=C;MT=Variable	NT=ADP-ribosylation;AC=null;TA=D;MT=Variable	NT=ADP-ribosylation;AC=null;TA=E;MT=Variable	NT=ADP-ribosylation;AC=null;TA=H;MT=Variable	NT=ADP-ribosylation;AC=null;TA=K;MT=Variable	NT=ADP-ribosylation;AC=null;TA=R;MT=Variable	NT=ADP-ribosylation;AC=null;TA=S;MT=Variable	NT=ADP-ribosylation;AC=null;TA=T;MT=Variable	NT=ADP-ribosylation;AC=null;TA=Y;MT=Variable	not available	not available	not available	NeutrAvidin agarose enrichment (biotin-peg3-azide click conjugation)	not available	not available	not available	not available	20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7_02_F0.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7and13_02_F0	Homo sapiens	whole cell lysate	not available	6	PXD020340_20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7and13_02_F0_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	0	1	not available	NT=NT=Lysyl Endopeptidase;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=ADP-ribosylation;AC=null;TA=C;MT=Variable	NT=ADP-ribosylation;AC=null;TA=D;MT=Variable	NT=ADP-ribosylation;AC=null;TA=E;MT=Variable	NT=ADP-ribosylation;AC=null;TA=H;MT=Variable	NT=ADP-ribosylation;AC=null;TA=K;MT=Variable	NT=ADP-ribosylation;AC=null;TA=R;MT=Variable	NT=ADP-ribosylation;AC=null;TA=S;MT=Variable	NT=ADP-ribosylation;AC=null;TA=T;MT=Variable	NT=ADP-ribosylation;AC=null;TA=Y;MT=Variable	not available	not available	not available	NeutrAvidin agarose enrichment (biotin-peg3-azide click conjugation)	not available	not available	not available	not available	20200213_LUMOS1_LC12_SCL_SA_Collab_Cohen_PARP7and13_02_F0.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
