source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD025581_pp_2020_008_1_NLSTREX_1	Homo sapiens	whole cell lysate	not available	1	PXD025581_pp_2020_008_1_NLSTREX_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	pp_2020_008_1_NLSTREX_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025581_pp_2020_008_3_NLSTREX_3	Homo sapiens	whole cell lysate	not available	2	PXD025581_pp_2020_008_3_NLSTREX_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	pp_2020_008_3_NLSTREX_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025581_pp_2020_008_2_NLSTREX_2	Homo sapiens	whole cell lysate	not available	3	PXD025581_pp_2020_008_2_NLSTREX_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	pp_2020_008_2_NLSTREX_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025581_pp_2019_125_1_Green_191118182223	Homo sapiens	whole cell lysate	not available	4	PXD025581_pp_2019_125_1_Green_191118182223_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	pp_2019_125_1_Green_191118182223.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025581_pp_2020_005_8_WTTREX_2	Homo sapiens	whole cell lysate	not available	5	PXD025581_pp_2020_005_8_WTTREX_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	pp_2020_005_8_WTTREX_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025581_pp_2020_002_4_S1SSD_5	Homo sapiens	whole cell lysate	not available	6	PXD025581_pp_2020_002_4_S1SSD_5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	pp_2020_002_4_S1SSD_5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025581_pp_2019_136_3_TREX1	Homo sapiens	whole cell lysate	not available	7	PXD025581_pp_2019_136_3_TREX1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	pp_2019_136_3_TREX1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025581_pp_2020_002_1_S1SSA_4	Homo sapiens	whole cell lysate	not available	8	PXD025581_pp_2020_002_1_S1SSA_4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	pp_2020_002_1_S1SSA_4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025581_pp_2020_005_7_WTTREX_1	Homo sapiens	whole cell lysate	not available	9	PXD025581_pp_2020_005_7_WTTREX_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	pp_2020_005_7_WTTREX_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025581_pp_2019_125_2_Red	Homo sapiens	whole cell lysate	not available	10	PXD025581_pp_2019_125_2_Red_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	pp_2019_125_2_Red.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
