source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD037652_BSA_Phox_SCE_1hr_IT60_promote_monoreject	Bos taurus	whole cell	not available	1	PXD037652_BSA_Phox_SCE_1hr_IT60_promote_monoreject_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=PhoX cross-linked mass modification;AC=null;TA=K or Protein N-terminus;MT=Variable	not available	not available	NT=[{'NT': 'tBu-PhoX', 'AC': None, 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=tBu-PhoX;AC=null;CL=no;TA=K,nterm'}, {'NT': 'PhoX', 'AC': 'XLMOD:02258', 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=PhoX;AC=XLMOD:02258;CL=no;TA=K,nterm'}]	not available	2.5–5 mM	not available	30–60 min	room temperature	BSA_Phox_SCE_1hr_IT60_promote_monoreject.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD037652_ADH_Phox_enriched_2_SCE_1hr_IT60_promote	Saccharomyces cerevisiae	whole cell	not available	2	PXD037652_ADH_Phox_enriched_2_SCE_1hr_IT60_promote_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=PhoX cross-linked mass modification;AC=null;TA=K or Protein N-terminus;MT=Variable	not available	not available	NT=[{'NT': 'tBu-PhoX', 'AC': None, 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=tBu-PhoX;AC=null;CL=no;TA=K,nterm'}, {'NT': 'PhoX', 'AC': 'XLMOD:02258', 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=PhoX;AC=XLMOD:02258;CL=no;TA=K,nterm'}]	not available	2.5–5 mM	not available	30–60 min	room temperature	ADH_Phox_enriched_2_SCE_1hr_IT60_promote.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD037652_BSA_Phox_SCE_1hr	Bos taurus	whole cell	not available	3	PXD037652_BSA_Phox_SCE_1hr_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=PhoX cross-linked mass modification;AC=null;TA=K or Protein N-terminus;MT=Variable	not available	not available	NT=[{'NT': 'tBu-PhoX', 'AC': None, 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=tBu-PhoX;AC=null;CL=no;TA=K,nterm'}, {'NT': 'PhoX', 'AC': 'XLMOD:02258', 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=PhoX;AC=XLMOD:02258;CL=no;TA=K,nterm'}]	not available	2.5–5 mM	not available	30–60 min	room temperature	BSA_Phox_SCE_1hr.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD037652_ecoli_tbPhoX_injtime_variation	Escherichia coli	whole cell	not available	4	PXD037652_ecoli_tbPhoX_injtime_variation_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=PhoX cross-linked mass modification;AC=null;TA=K or Protein N-terminus;MT=Variable	not available	not available	NT=[{'NT': 'tBu-PhoX', 'AC': None, 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=tBu-PhoX;AC=null;CL=no;TA=K,nterm'}, {'NT': 'PhoX', 'AC': 'XLMOD:02258', 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=PhoX;AC=XLMOD:02258;CL=no;TA=K,nterm'}]	not available	2.5–5 mM	not available	30–60 min	room temperature	ecoli_tbPhoX_injtime_variation.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD037652_ecoli_tbPHOX_SCE212631_1hr_2_ITscore20	Escherichia coli	whole cell	not available	5	PXD037652_ecoli_tbPHOX_SCE212631_1hr_2_ITscore20_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=PhoX cross-linked mass modification;AC=null;TA=K or Protein N-terminus;MT=Variable	not available	not available	NT=[{'NT': 'tBu-PhoX', 'AC': None, 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=tBu-PhoX;AC=null;CL=no;TA=K,nterm'}, {'NT': 'PhoX', 'AC': 'XLMOD:02258', 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=PhoX;AC=XLMOD:02258;CL=no;TA=K,nterm'}]	not available	2.5–5 mM	not available	30–60 min	room temperature	ecoli_tbPHOX_SCE212631_1hr_2_ITscore20.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD037652_ecoli_tbPHOX_SCE212631_1hr_2_OTscore95	Escherichia coli	whole cell	not available	6	PXD037652_ecoli_tbPHOX_SCE212631_1hr_2_OTscore95_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=PhoX cross-linked mass modification;AC=null;TA=K or Protein N-terminus;MT=Variable	not available	not available	NT=[{'NT': 'tBu-PhoX', 'AC': None, 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=tBu-PhoX;AC=null;CL=no;TA=K,nterm'}, {'NT': 'PhoX', 'AC': 'XLMOD:02258', 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=PhoX;AC=XLMOD:02258;CL=no;TA=K,nterm'}]	not available	2.5–5 mM	not available	30–60 min	room temperature	ecoli_tbPHOX_SCE212631_1hr_2_OTscore95.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD037652_ovo_tbPHOX_SCE212631_1hr_2_ITscore95	Gallus gallus	whole cell	not available	7	PXD037652_ovo_tbPHOX_SCE212631_1hr_2_ITscore95_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=PhoX cross-linked mass modification;AC=null;TA=K or Protein N-terminus;MT=Variable	not available	not available	NT=[{'NT': 'tBu-PhoX', 'AC': None, 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=tBu-PhoX;AC=null;CL=no;TA=K,nterm'}, {'NT': 'PhoX', 'AC': 'XLMOD:02258', 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=PhoX;AC=XLMOD:02258;CL=no;TA=K,nterm'}]	not available	2.5–5 mM	not available	30–60 min	room temperature	ovo_tbPHOX_SCE212631_1hr_2_ITscore95.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD037652_ovo_tbPHOX_SCE212631_1hr_2_OTscore20	Gallus gallus	whole cell	not available	8	PXD037652_ovo_tbPHOX_SCE212631_1hr_2_OTscore20_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=PhoX cross-linked mass modification;AC=null;TA=K or Protein N-terminus;MT=Variable	not available	not available	NT=[{'NT': 'tBu-PhoX', 'AC': None, 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=tBu-PhoX;AC=null;CL=no;TA=K,nterm'}, {'NT': 'PhoX', 'AC': 'XLMOD:02258', 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=PhoX;AC=XLMOD:02258;CL=no;TA=K,nterm'}]	not available	2.5–5 mM	not available	30–60 min	room temperature	ovo_tbPHOX_SCE212631_1hr_2_OTscore20.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD037652_ecoli_tbPHOX_SCE212631_1hr_2_OTscore40	Escherichia coli	whole cell	not available	9	PXD037652_ecoli_tbPHOX_SCE212631_1hr_2_OTscore40_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=PhoX cross-linked mass modification;AC=null;TA=K or Protein N-terminus;MT=Variable	not available	not available	NT=[{'NT': 'tBu-PhoX', 'AC': None, 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=tBu-PhoX;AC=null;CL=no;TA=K,nterm'}, {'NT': 'PhoX', 'AC': 'XLMOD:02258', 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=PhoX;AC=XLMOD:02258;CL=no;TA=K,nterm'}]	not available	2.5–5 mM	not available	30–60 min	room temperature	ecoli_tbPHOX_SCE212631_1hr_2_OTscore40.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD037652_ecoli_tbPhoX_AGC_variation	Escherichia coli	whole cell	not available	10	PXD037652_ecoli_tbPhoX_AGC_variation_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=PhoX cross-linked mass modification;AC=null;TA=K or Protein N-terminus;MT=Variable	not available	not available	NT=[{'NT': 'tBu-PhoX', 'AC': None, 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=tBu-PhoX;AC=null;CL=no;TA=K,nterm'}, {'NT': 'PhoX', 'AC': 'XLMOD:02258', 'CL': 'no', 'TA': 'K,nterm', 'structured_value': 'NT=PhoX;AC=XLMOD:02258;CL=no;TA=K,nterm'}]	not available	2.5–5 mM	not available	30–60 min	room temperature	ecoli_tbPhoX_AGC_variation.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
