source name	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD041328_20221222_E1_RM_CVG_EXP55_C3_S12	Mus musculus	not available	not available	not available	1	PXD041328_20221222_E1_RM_CVG_EXP55_C3_S12_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C3_S12.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C6_S5	Mus musculus	not available	not available	not available	2	PXD041328_20221222_E1_RM_CVG_EXP55_C6_S5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C6_S5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C4_S12	Mus musculus	not available	not available	not available	3	PXD041328_20221222_E1_RM_CVG_EXP55_C4_S12_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C4_S12.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C1_S11	Mus musculus	not available	not available	not available	4	PXD041328_20221222_E1_RM_CVG_EXP55_C1_S11_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C1_S11.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C5_S9	Mus musculus	not available	not available	not available	5	PXD041328_20221222_E1_RM_CVG_EXP55_C5_S9_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C5_S9.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C2_S1	Mus musculus	not available	not available	not available	6	PXD041328_20221222_E1_RM_CVG_EXP55_C2_S1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C2_S1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C4_S6	Mus musculus	not available	not available	not available	7	PXD041328_20221222_E1_RM_CVG_EXP55_C4_S6_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C4_S6.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C5_S10	Mus musculus	not available	not available	not available	8	PXD041328_20221222_E1_RM_CVG_EXP55_C5_S10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C5_S10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C1_S9	Mus musculus	not available	not available	not available	9	PXD041328_20221222_E1_RM_CVG_EXP55_C1_S9_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C1_S9.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD041328_20221222_E1_RM_CVG_EXP55_C5_S12_empty	NT=Mus musculus;AC=NCBITaxon:10090	NT=Homo sapiens;AC=NCBITaxon:9606	not available	not available	10	PXD041328_20221222_E1_RM_CVG_EXP55_C5_S12_empty_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT6plex;AC=PRIDE:0000116	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	20221222_E1_RM_CVG_EXP55_C5_S12_empty.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
