source name	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD042599_eEF1B_titration_assay_WT_2uM_rep1_AspN	Homo sapiens	not available	not available	not available	1	PXD042599_eEF1B_titration_assay_WT_2uM_rep1_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_WT_2uM_rep1_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_WT_5uM_rep3_AspN	Homo sapiens	not available	not available	not available	2	PXD042599_eEF1B_titration_assay_WT_5uM_rep3_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_WT_5uM_rep3_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_WT_20uM_rep2_AspN_231104104917	Homo sapiens	not available	not available	not available	3	PXD042599_eEF1B_titration_assay_WT_20uM_rep2_AspN_231104104917_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_WT_20uM_rep2_AspN_231104104917.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_F163A_5uM_rep2_AspN	Homo sapiens	not available	not available	not available	4	PXD042599_eEF1B_titration_assay_F163A_5uM_rep2_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_F163A_5uM_rep2_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_F163A_5uM_rep3_AspN	Homo sapiens	not available	not available	not available	5	PXD042599_eEF1B_titration_assay_F163A_5uM_rep3_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_F163A_5uM_rep3_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_WT_5uM_rep2_AspN	Homo sapiens	not available	not available	not available	6	PXD042599_eEF1B_titration_assay_WT_5uM_rep2_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_WT_5uM_rep2_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_F163A_1uM_rep3_AspN_231105004506	Homo sapiens	not available	not available	not available	7	PXD042599_eEF1B_titration_assay_F163A_1uM_rep3_AspN_231105004506_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_F163A_1uM_rep3_AspN_231105004506.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_WT_05uM_rep2_AspN	Homo sapiens	not available	not available	not available	8	PXD042599_eEF1B_titration_assay_WT_05uM_rep2_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_WT_05uM_rep2_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_WT_02uM_rep3_AspN	Homo sapiens	not available	not available	not available	9	PXD042599_eEF1B_titration_assay_WT_02uM_rep3_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_WT_02uM_rep3_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD042599_eEF1B_titration_assay_F163A_05uM_rep3_AspN_231104202359	Homo sapiens	not available	not available	not available	10	PXD042599_eEF1B_titration_assay_F163A_05uM_rep3_AspN_231104202359_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	not available	1 mM	not available	1 hr	30 °C	eEF1B_titration_assay_F163A_05uM_rep3_AspN_231104202359.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
