source name	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD051261_P_S_tPA_0.5mM_DSS_1_DT_C2203_093	Homo sapiens	not available	not available	not available	1	PXD051261_P_S_tPA_0.5mM_DSS_1_DT_C2203_093_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSS-H12/D12', 'DSG-H6/D6'];AC=['XLMOD:02001', 'XLMOD:02000'];TA=['K,nterm', 'K,nterm']	not available	not available	not available	2 h	37 °C	P_S_tPA_0.5mM_DSS_1_DT_C2203_093.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD051261_high_plg_tpa_1mM_DSS_1_DT_C2203_089	Homo sapiens	not available	not available	not available	2	PXD051261_high_plg_tpa_1mM_DSS_1_DT_C2203_089_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSS-H12/D12', 'DSG-H6/D6'];AC=['XLMOD:02001', 'XLMOD:02000'];TA=['K,nterm', 'K,nterm']	not available	not available	not available	2 h	37 °C	high_plg_tpa_1mM_DSS_1_DT_C2203_089.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD051261_P_2S_tPA_1mM_DSS_1_DT_C2203_101	Homo sapiens	not available	not available	not available	3	PXD051261_P_2S_tPA_1mM_DSS_1_DT_C2203_101_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSS-H12/D12', 'DSG-H6/D6'];AC=['XLMOD:02001', 'XLMOD:02000'];TA=['K,nterm', 'K,nterm']	not available	not available	not available	2 h	37 °C	P_2S_tPA_1mM_DSS_1_DT_C2203_101.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD051261_P_S_0mM_DT_C2111_167	Homo sapiens	not available	not available	not available	4	PXD051261_P_S_0mM_DT_C2111_167_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSS-H12/D12', 'DSG-H6/D6'];AC=['XLMOD:02001', 'XLMOD:02000'];TA=['K,nterm', 'K,nterm']	not available	not available	not available	2 h	37 °C	P_S_0mM_DT_C2111_167.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD051261_DT_M2109_065	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Group A Streptococcus (Streptococcus pyogenes);AC=NCBITaxon:1312	not available	not available	5	PXD051261_DT_M2109_065_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSS-H12/D12', 'DSG-H6/D6'];AC=['XLMOD:02001', 'XLMOD:02000'];TA=['K,nterm', 'K,nterm']	not available	not available	not available	2 h	37 °C	DT_M2109_065.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD051261_300s_plg_20230511_023039_300	Homo sapiens	not available	not available	not available	6	PXD051261_300s_plg_20230511_023039_300_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSS-H12/D12', 'DSG-H6/D6'];AC=['XLMOD:02001', 'XLMOD:02000'];TA=['K,nterm', 'K,nterm']	not available	not available	not available	2 h	37 °C	300s_plg_20230511_023039_300.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD051261_DT_M2109_059	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Group A Streptococcus (Streptococcus pyogenes);AC=NCBITaxon:1312	not available	not available	7	PXD051261_DT_M2109_059_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSS-H12/D12', 'DSG-H6/D6'];AC=['XLMOD:02001', 'XLMOD:02000'];TA=['K,nterm', 'K,nterm']	not available	not available	not available	2 h	37 °C	DT_M2109_059.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD051261_3000s_plg_20230510_223347_3000	Homo sapiens	not available	not available	not available	8	PXD051261_3000s_plg_20230510_223347_3000_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSS-H12/D12', 'DSG-H6/D6'];AC=['XLMOD:02001', 'XLMOD:02000'];TA=['K,nterm', 'K,nterm']	not available	not available	not available	2 h	37 °C	3000s_plg_20230510_223347_3000.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD051261_30s_plg_20230510_202945_30	Homo sapiens	not available	not available	not available	9	PXD051261_30s_plg_20230510_202945_30_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSS-H12/D12', 'DSG-H6/D6'];AC=['XLMOD:02001', 'XLMOD:02000'];TA=['K,nterm', 'K,nterm']	not available	not available	not available	2 h	37 °C	30s_plg_20230510_202945_30.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD051261_DT_M2109_367	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Group A Streptococcus (Streptococcus pyogenes);AC=NCBITaxon:1312	not available	not available	10	PXD051261_DT_M2109_367_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSS-H12/D12', 'DSG-H6/D6'];AC=['XLMOD:02001', 'XLMOD:02000'];TA=['K,nterm', 'K,nterm']	not available	not available	not available	2 h	37 °C	DT_M2109_367.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD051261_DT_M2109_070	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Group A Streptococcus (Streptococcus pyogenes);AC=NCBITaxon:1312	not available	not available	11	PXD051261_DT_M2109_070_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSS-H12/D12', 'DSG-H6/D6'];AC=['XLMOD:02001', 'XLMOD:02000'];TA=['K,nterm', 'K,nterm']	not available	not available	not available	2 h	37 °C	DT_M2109_070.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD051261_DT_M2109_081	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Group A Streptococcus (Streptococcus pyogenes);AC=NCBITaxon:1312	not available	not available	12	PXD051261_DT_M2109_081_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSS-H12/D12', 'DSG-H6/D6'];AC=['XLMOD:02001', 'XLMOD:02000'];TA=['K,nterm', 'K,nterm']	not available	not available	not available	2 h	37 °C	DT_M2109_081.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD051261_P_S_tPA_1mM_DSS_2_DT_C2203_098	Homo sapiens	not available	not available	not available	13	PXD051261_P_S_tPA_1mM_DSS_2_DT_C2203_098_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSS-H12/D12', 'DSG-H6/D6'];AC=['XLMOD:02001', 'XLMOD:02000'];TA=['K,nterm', 'K,nterm']	not available	not available	not available	2 h	37 °C	P_S_tPA_1mM_DSS_2_DT_C2203_098.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
