source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD053341_E240306_04_HT_100_Syed_SNAPCflDNA_SDA_SECA6_inj1	Homo sapiens	not available	not available	1	PXD053341_E240306_04_HT_100_Syed_SNAPCflDNA_SDA_SECA6_inj1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA loop link;AC=null;TA=;MT=Variable	NT=hydrolysed SDA;AC=null;TA=;MT=Variable	NT=SDA-Tris;AC=null;TA=;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	1:2 (w/w)	18 hours	4 °C	E240306_04_HT_100_Syed_SNAPCflDNA_SDA_SECA6_inj1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053341_E240306_20_HT_100_Syed_SNAPCflDNA_SDA_SECA12_inj1	Homo sapiens	not available	not available	2	PXD053341_E240306_20_HT_100_Syed_SNAPCflDNA_SDA_SECA12_inj1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA loop link;AC=null;TA=;MT=Variable	NT=hydrolysed SDA;AC=null;TA=;MT=Variable	NT=SDA-Tris;AC=null;TA=;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	1:2 (w/w)	18 hours	4 °C	E240306_20_HT_100_Syed_SNAPCflDNA_SDA_SECA12_inj1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053341_E240306_01_HT_100_Syed_SNAPCflDNA_SDA_SECA5_inj1	Homo sapiens	not available	not available	3	PXD053341_E240306_01_HT_100_Syed_SNAPCflDNA_SDA_SECA5_inj1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA loop link;AC=null;TA=;MT=Variable	NT=hydrolysed SDA;AC=null;TA=;MT=Variable	NT=SDA-Tris;AC=null;TA=;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	1:2 (w/w)	18 hours	4 °C	E240306_01_HT_100_Syed_SNAPCflDNA_SDA_SECA5_inj1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053341_E240306_07_HT_100_Syed_SNAPCflDNA_SDA_SECA7_inj1	Homo sapiens	not available	not available	4	PXD053341_E240306_07_HT_100_Syed_SNAPCflDNA_SDA_SECA7_inj1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA loop link;AC=null;TA=;MT=Variable	NT=hydrolysed SDA;AC=null;TA=;MT=Variable	NT=SDA-Tris;AC=null;TA=;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	1:2 (w/w)	18 hours	4 °C	E240306_07_HT_100_Syed_SNAPCflDNA_SDA_SECA7_inj1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053341_E240306_16_HT_100_Syed_SNAPCflDNA_SDA_SECA10_inj2	Homo sapiens	not available	not available	5	PXD053341_E240306_16_HT_100_Syed_SNAPCflDNA_SDA_SECA10_inj2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA loop link;AC=null;TA=;MT=Variable	NT=hydrolysed SDA;AC=null;TA=;MT=Variable	NT=SDA-Tris;AC=null;TA=;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	1:2 (w/w)	18 hours	4 °C	E240306_16_HT_100_Syed_SNAPCflDNA_SDA_SECA10_inj2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053341_E240306_15_HT_100_Syed_SNAPCflDNA_SDA_SECA10_inj1	Homo sapiens	not available	not available	6	PXD053341_E240306_15_HT_100_Syed_SNAPCflDNA_SDA_SECA10_inj1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA loop link;AC=null;TA=;MT=Variable	NT=hydrolysed SDA;AC=null;TA=;MT=Variable	NT=SDA-Tris;AC=null;TA=;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	1:2 (w/w)	18 hours	4 °C	E240306_15_HT_100_Syed_SNAPCflDNA_SDA_SECA10_inj1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053341_E240306_18_HT_100_Syed_SNAPCflDNA_SDA_SECA11_inj2	Homo sapiens	not available	not available	7	PXD053341_E240306_18_HT_100_Syed_SNAPCflDNA_SDA_SECA11_inj2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA loop link;AC=null;TA=;MT=Variable	NT=hydrolysed SDA;AC=null;TA=;MT=Variable	NT=SDA-Tris;AC=null;TA=;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	1:2 (w/w)	18 hours	4 °C	E240306_18_HT_100_Syed_SNAPCflDNA_SDA_SECA11_inj2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053341_E240306_02_HT_100_Syed_SNAPCflDNA_SDA_SECA5_inj2	Homo sapiens	not available	not available	8	PXD053341_E240306_02_HT_100_Syed_SNAPCflDNA_SDA_SECA5_inj2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA loop link;AC=null;TA=;MT=Variable	NT=hydrolysed SDA;AC=null;TA=;MT=Variable	NT=SDA-Tris;AC=null;TA=;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	1:2 (w/w)	18 hours	4 °C	E240306_02_HT_100_Syed_SNAPCflDNA_SDA_SECA5_inj2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053341_E240306_17_HT_100_Syed_SNAPCflDNA_SDA_SECA11_inj1	Homo sapiens	not available	not available	9	PXD053341_E240306_17_HT_100_Syed_SNAPCflDNA_SDA_SECA11_inj1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA loop link;AC=null;TA=;MT=Variable	NT=hydrolysed SDA;AC=null;TA=;MT=Variable	NT=SDA-Tris;AC=null;TA=;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	1:2 (w/w)	18 hours	4 °C	E240306_17_HT_100_Syed_SNAPCflDNA_SDA_SECA11_inj1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053341_E240306_05_HT_100_Syed_SNAPCflDNA_SDA_SECA6_inj2	Homo sapiens	not available	not available	10	PXD053341_E240306_05_HT_100_Syed_SNAPCflDNA_SDA_SECA6_inj2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA loop link;AC=null;TA=;MT=Variable	NT=hydrolysed SDA;AC=null;TA=;MT=Variable	NT=SDA-Tris;AC=null;TA=;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	1:2 (w/w)	18 hours	4 °C	E240306_05_HT_100_Syed_SNAPCflDNA_SDA_SECA6_inj2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
