source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD056942_Lumos_230911_FAIMS_23	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	1	PXD056942_Lumos_230911_FAIMS_23_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_23.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_18	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	2	PXD056942_Lumos_230911_FAIMS_18_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_18.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_39	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	3	PXD056942_Lumos_230911_FAIMS_39_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_39.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_30	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	4	PXD056942_Lumos_230911_FAIMS_30_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_30.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_32	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	5	PXD056942_Lumos_230911_FAIMS_32_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_32.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_42	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	6	PXD056942_Lumos_230911_FAIMS_42_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_42.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_28	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	7	PXD056942_Lumos_230911_FAIMS_28_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_28.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_22	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	8	PXD056942_Lumos_230911_FAIMS_22_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_22.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_43	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	9	PXD056942_Lumos_230911_FAIMS_43_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_43.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD056942_Lumos_230911_FAIMS_16	Brachyspira pilosicoli	not available	intestinal epithelial cells (polarized epithelial monolayer)	10	PXD056942_Lumos_230911_FAIMS_16_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	NT=TMTpro;AC=null;TA=Any;MT=Fixed	not available	not available	not available	not available	not available	not available	not available	not available	Lumos_230911_FAIMS_16.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
