source name	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD065905_Ex2_20241226_CJX_DSBSO_test_37C_90min_2	Homo sapiens	not available	not available	mitochondria	not available	1	PXD065905_Ex2_20241226_CJX_DSBSO_test_37C_90min_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20241226_CJX_DSBSO_test_37C_90min_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SEC_B1	Bacillus subtilis	not available	not available	mitochondria	not available	2	PXD065905_L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SEC_B1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20250612_JPL_DS48-7_BS_DBBSO_DBCO_SEC_B1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20220304_CW_DSBSO_FAIMS45	Bacillus subtilis	not available	not available	mitochondria	not available	3	PXD065905_L1_20220304_CW_DSBSO_FAIMS45_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20220304_CW_DSBSO_FAIMS45.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20240911_JPL_DS23_11_BS_DSBSO_intraday_T10_S	Homo sapiens	not available	not available	mitochondria	not available	4	PXD065905_Ex2_20240911_JPL_DS23_11_BS_DSBSO_intraday_T10_S_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20240911_JPL_DS23_11_BS_DSBSO_intraday_T10_S.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20220304_CW_DSBSO_FAIMS80	Bacillus subtilis	not available	not available	mitochondria	not available	5	PXD065905_L1_20220304_CW_DSBSO_FAIMS80_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20220304_CW_DSBSO_FAIMS80.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20241225_CJX_DSBSO_test_RT_30min_2	Homo sapiens	not available	not available	mitochondria	not available	6	PXD065905_Ex2_20241225_CJX_DSBSO_test_RT_30min_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20241225_CJX_DSBSO_test_RT_30min_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20241018_CJX_DSBSO_test_PC_3	Homo sapiens	not available	not available	mitochondria	not available	7	PXD065905_Ex2_20241018_CJX_DSBSO_test_PC_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20241018_CJX_DSBSO_test_PC_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20240911_JPL_DS23_5_BS_DSBSO_intraday_T50_S	Homo sapiens	not available	not available	mitochondria	not available	8	PXD065905_Ex2_20240911_JPL_DS23_5_BS_DSBSO_intraday_T50_S_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20240911_JPL_DS23_5_BS_DSBSO_intraday_T50_S.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_L1_20240815_JPL_DS21_NCE192530_S	Homo sapiens	not available	not available	mitochondria	not available	9	PXD065905_L1_20240815_JPL_DS21_NCE192530_S_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	L1_20240815_JPL_DS21_NCE192530_S.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD065905_Ex2_20250408_JPL_DS45-6_DSBSO_SEC_vs_SCX_SEC	Homo sapiens	not available	not available	mitochondria	not available	10	PXD065905_Ex2_20250408_JPL_DS45-6_DSBSO_SEC_vs_SCX_SEC_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=No cleavage;AC=MS:1001955	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=Azide-A-DSBSO;AC=XLMOD:02222	affinity enrichment using DBCO agarose beads (click chemistry enrichment)	not available	not available	3 hours	37 °C	Ex2_20250408_JPL_DS45-6_DSBSO_SEC_vs_SCX_SEC.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
